CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
3508			34	Herbaceous	Geophyte_Hemicryptophyte	6	3	1	3.5	1	4	3	
3512			17	Herbaceous	Therophyte	6	4	1	2	1	2	2	
3525			23	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	4.5	2	
3529			10	Herbaceous	Therophyte	6	3	2	3	1	2	2	
3530	2		42	Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	4	3	
3543			11.5	Herbaceous	Therophyte	4	4	1	2	1	1	2	
3546			32	Herbaceous	Geophyte_Hemicryptophyte	6	3	1	3.5	1	4	3	
3552				Herbaceous	Therophyte		3	1	2	1	4.5		
3555			7	Herbaceous	Therophyte		2	2	3.5	1	2	2	
3558		1	10	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	1.5	1	1	2	
3559	1		25	Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3.5	3	
3565			7	Herbaceous	Therophyte	6			1				
3569			25	Herbaceous	Geophyte_Hemicryptophyte	3			3				
3574			30	Herbaceous	Therophyte	2	4	1	1.5	1	1.5		
3576				Herbaceous	Geophyte_Hemicryptophyte		2	1	3	1	3.5		
3580			40	Herbaceous	Chamaephyte_H	2			1				
3581			30	Herbaceous	Chamaephyte_H	2	4	1	1.5	1	1		
3588		12	30	Herbaceous	Chamaephyte_H	2	4	1	2	1	1.5		
3591				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	1		
3592			30	Herbaceous	Chamaephyte_H				1				
3598			25	Herbaceous	Geophyte_Hemicryptophyte	6	5	1	3.5	1	1.5		
3604			18	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	2	1	2.5	2	
3612			30.25	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	2.5	1	2.5	2	
3616				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3.5		
3619			31	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	3	1	3.5		
3623			25	Herbaceous	Geophyte_Hemicryptophyte	3	2	1	3	1	3.5		
3624				Herbaceous	Geophyte_Hemicryptophyte		2	1	3	1	3.5		
3629			30	Herbaceous	Geophyte_Hemicryptophyte	3	2	2	2.5	1	3		
3636				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	3	3	
3637				Herbaceous	Geophyte_Hemicryptophyte		2	1	3	1	3		
3641	2		60	Herbaceous	Geophyte_Hemicryptophyte	3	3	2	4	1	3.5	2	
3645	1		26.5	Herbaceous	Geophyte_Hemicryptophyte	3	2	1	3	1	3.5		
3649				Herbaceous	Geophyte_Hemicryptophyte		2	1	3	1	3		
3657		2	7	Suffrutescent	Chamaephyte_S	1	4	1	2	1	1		
3661		4	6	Suffrutescent	Chamaephyte_S	1	4	1	1.5	1	3		
3663		3	60	Herbaceous	Geophyte_Hemicryptophyte	7	2	2	4.5	2	3.5	2	
3664		14	30	Suffrutescent	Chamaephyte_S	2	4	1	1.5	1	2		
3665		11	5.8	Suffrutescent	Chamaephyte_S	1	4	1	1	1	1		
3668		1	10	Herbaceous	Therophyte	4	4	1	2	2	1.5		
3692		5		unknown	Chamaephyte_H		4	1	2	1	1		
3695				unknown	Chamaephyte_H		5	1	1	1	1		
