"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Luzula multiflora (Ehrh.) Lej. subsp. multiflora",37.5,10,32,10,0.5,12.515625,32,"all"
"Meum athamanticum Jacq.",62.5,1,28,11,15,21.1071428571429,28,"all"
"Molinia caerulea (L.) Moench",62.5,1,26,14,37.5,25.2884615384615,26,"all"
"Mutellina adonidifolia (J. Gay) Guterm.",37.5,17,52,17,0.5,14.8269230769231,52,"all"
"Nardus stricta L.",62.5,3,122,57,15,21.7295081967213,123,"all"
"Onobrychis viciifolia Scop.",37.5,12,29,12,0.5,16.8103448275862,29,"all"
"Parnassia palustris L., 1753",37.5,13,37,13,0.5,14.6756756756757,37,"all"
"Phleum phleoides (L.) Karsten",37.5,12,17,12,37.5,28.3235294117647,17,"all"
"Phyteuma hemisphaericum L.",37.5,6,32,6,0.5,7.4375,33,"all"
"Picea abies (L.) Karsten",62.5,5,82,45,37.5,24.6280487804878,82,"all"
"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862",37.5,9,55,9,0.5,7.08181818181818,55,"all"
"Plantago alpina L.",37.5,23,64,23,15,16.0625,65,"all"
"Plantago lanceolata L.",37.5,24,89,24,0.5,11.6179775280899,90,"all"
"Poa alpina L.",62.5,2,91,33,0.5,16.3791208791209,91,"all"
"Poa pratensis L.",37.5,14,34,14,15,18.7205882352941,35,"all"
"Polygonum bistorta L.",37.5,11,32,11,15,16.390625,32,"all"
"Polygonum viviparum L.",37.5,22,58,22,0.5,14.7844827586207,58,"all"
"Potentilla aurea L.",37.5,9,44,9,0.5,8.39772727272727,44,"all"
"Potentilla erecta (L.) R.uschel",37.5,39,134,39,0.5,14.1902985074627,134,"all"
"Prunella vulgaris L.",37.5,1,33,1,0.5,2.5,33,"all"
"Rhinanthus alectorolophus (Scop.) Pollich",62.5,1,31,9,15,15.7903225806452,31,"all"
"Rhododendron ferrugineum L.",62.5,3,27,15,37.5,25.9814814814815,27,"all"
"Rubus idaeus L.",37.5,9,32,9,0.5,13.171875,32,"all"
"Rumex acetosa L.",37.5,5,40,5,0.5,5.125,40,"all"
"Salvia pratensis L.",37.5,14,47,14,15,17.0744680851064,48,"all"
"Sanguisorba minor Scop.",37.5,11,49,11,0.5,9.10204081632653,49,"all"
"Saxifraga aizoides L.",37.5,8,28,8,0.5,12.1071428571429,28,"all"
"Saxifraga stellaris L. subsp. robusta (Engler) Gremli",37.5,9,28,9,0.5,12.9107142857143,28,"all"
"Scabiosa columbaria L.",37.5,13,34,13,0.5,14.6470588235294,34,"all"
"Sempervivum montanum L.",37.5,5,29,5,0.5,7.37931034482759,29,"all"
"Sesleria caerulea (L.) Ard., non sensu 4",37.5,13,21,13,37.5,25.4761904761905,21,"all"
"Silene nutans L. subsp. nutans",37.5,2,35,2,0.5,2.61428571428571,35,"all"
"Silene rupestris L.",37.5,2,32,2,0.5,2.8125,33,"all"
