"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa",37.5,20,60,20,0.5,14.7666666666667,60,"all"
"Deschampsia flexuosa (L.) Trin.",37.5,33,77,33,15,19.5584415584416,77,"all"
"Dianthus sylvestris Wulfen subsp. sylvestris",37.5,2,20,2,0.5,5.65,20,"all"
"Digitalis grandiflora Miller",37.5,1,10,1,0.5,5.65,10,"all"
"Digitalis lutea L. subsp. lutea",0.5,6,6,0,0.5,0.5,7,"all"
"Digitaria sanguinalis (L.) Scop.",0.5,1,1,0,0.5,0.5,1,"all"
"Diphasiastrum alpinum (L.) Holub",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Doronicum grandiflorum Lam.",15,2,6,0,0.5,5.33333333333333,6,"all"
"Draba aizoides L.",0.5,4,4,0,0.5,0.5,4,"all"
"Draba dubia Suter",0.5,1,1,0,0.5,0.5,1,"all"
"Draba siliquosa M. Bieb.",0.5,1,1,0,0.5,0.5,1,"all"
"Drosera rotundifolia L.",37.5,6,17,6,0.5,15.2647058823529,17,"all"
"Dryas octopetala L.",15,4,9,0,0.5,6.94444444444444,9,"all"
"Dryopteris affinis (Lowe) Fraser-Jenkins",15,1,4,0,0.5,4.125,4,"all"
"Dryopteris carthusiana (Vill.) H.P. Fuchs",37.5,2,8,2,0.5,9.75,8,"all"
"Dryopteris dilatata (Hoffm.) A. Gray",37.5,3,13,3,0.5,10.1538461538462,13,"all"
"Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy",37.5,1,3,1,15,17.6666666666667,3,"all"
"Dryopteris filix-mas (L.) Schott",37.5,5,25,5,0.5,9.64,25,"all"
"Dryopteris villarii (Bellardi) Schinz & Thell.",15,1,2,0,7.75,7.75,2,"all"
"Echinochloa crus-galli (L.) P. Beauv.",37.5,1,1,1,37.5,37.5,1,"all"
"Echium vulgare L.",0.5,13,13,0,0.5,0.5,14,"all"
"Eleocharis palustris (L.) Roemer & Schultes",37.5,1,1,1,37.5,37.5,1,"all"
"Eleocharis quinqueflora (F.X. Hartmann) O. Schwarz",37.5,5,14,5,15,18.8928571428571,14,"all"
"Eleocharis uniglumis (Link) Schultes",15,1,2,0,7.75,7.75,2,"all"
"Elytrigia intermedia (Host) Nevski",62.5,1,5,2,15,23.2,5,"all"
"Elytrigia repens (L.) Desv. ex Nevski",37.5,1,7,1,0.5,5.78571428571429,7,"all"
"Empetrum nigrum L. subsp. hermaphroditum (Hagerup) B.cher",62.5,1,14,6,15,25.3928571428571,14,"all"
"Epilobium alpestre (Jacq.) Krocker",0.5,4,4,0,0.5,0.5,4,"all"
"Epilobium alsinifolium Vill.",37.5,5,11,5,15,18.6363636363636,11,"all"
"Epilobium anagallidifolium Lam.",37.5,1,4,1,0.5,9.75,4,"all"
"Epilobium angustifolium L.",37.5,9,29,9,0.5,12.9827586206897,29,"all"
"Epilobium collinum C.C. Gmelin",37.5,2,9,2,0.5,8.72222222222222,9,"all"
"Epilobium dodonaei Vill. subsp. fleischeri (Hochst.) Schinz & Thell.",37.5,1,5,1,0.5,10.8,5,"all"
"Epilobium montanum L.",37.5,2,18,2,0.5,4.61111111111111,18,"all"
"Epilobium nutans F.W. Schmidt",37.5,2,11,2,0.5,7.22727272727273,11,"all"
"Epilobium palustre L.",37.5,2,6,2,0.5,12.8333333333333,6,"all"
"Epilobium parviflorum Schreber",0.5,4,4,0,0.5,0.5,4,"all"
"Epipactis atrorubens (Hoffm.) Besser",0.5,5,5,0,0.5,0.5,5,"all"
"Epipactis helleborine (L.) Crantz",0.5,2,2,0,0.5,0.5,2,"all"
"Epipactis palustris (L.) Crantz",37.5,2,4,2,26.25,22.625,4,"all"
"Equisetum arvense L.",37.5,2,13,2,0.5,7.30769230769231,13,"all"
"Equisetum fluviatile L.",37.5,2,2,2,37.5,37.5,2,"all"
"Equisetum palustre L.",37.5,11,31,11,0.5,15.0322580645161,31,"all"
"Equisetum ramosissimum Desf.",15,1,2,0,7.75,7.75,2,"all"
"Equisetum sylvaticum L.",15,1,6,0,0.5,2.91666666666667,6,"all"
"Equisetum telmateia Ehrh.",0.5,2,2,0,0.5,0.5,2,"all"
"Equisetum variegatum Schleicher",37.5,4,12,4,15,16.4583333333333,12,"all"
"Eragrostis minor Host",37.5,1,1,1,37.5,37.5,1,"all"
"Erigeron acer L.",0.5,2,2,0,0.5,0.5,3,"all"
"Erigeron acer L. subsp. angulosus (Gaudin) Vacc.",0.5,1,1,0,0.5,0.5,1,"all"
"Erigeron alpinus L.",0.5,3,3,0,0.5,0.5,3,"all"
"Erigeron annuus (L.) Pers.",0.5,5,5,0,0.5,0.5,6,"all"
"Erigeron annuus (L.) Pers. subsp. annuus",37.5,1,2,1,19,19,2,"all"
"Erigeron gaudinii Br.gger",37.5,1,1,1,37.5,37.5,1,"all"
"Erigeron glabratus Bluff & Fingerh.",0.5,1,1,0,0.5,0.5,1,"all"
"Erigeron neglectus A. Kerner",0.5,1,1,0,0.5,0.5,1,"all"
"Erigeron uniflorus L.",0.5,7,7,0,0.5,0.5,7,"all"
"Eriophorum latifolium Hoppe",37.5,7,21,7,15,16.9761904761905,21,"all"
"Eriophorum polystachion L. [1753]",37.5,12,39,12,0.5,12.6282051282051,39,"all"
"Eriophorum scheuchzeri Hoppe",37.5,6,6,6,37.5,37.5,6,"all"
"Eriophorum vaginatum L.",37.5,12,24,12,26.25,21.4166666666667,24,"all"
"Erucastrum nasturtiifolium (Poiret) O.E. Schulz subsp. nasturtiifolium",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Eryngium campestre L.",0.5,3,3,0,0.5,0.5,3,"all"
"Eupatorium cannabinum L. subsp. cannabinum",0.5,1,1,0,0.5,0.5,1,"all"
"Euphorbia cyparissias L.",37.5,5,31,5,0.5,7.40322580645161,31,"all"
"Euphrasia alpina Lam.",0.5,1,1,0,0.5,0.5,1,"all"
"Euphrasia hirtella Jordan ex Reuter",37.5,1,1,1,37.5,37.5,1,"all"
"Euphrasia minima Jacq. ex DC., 1805",37.5,5,28,5,0.5,7.10714285714286,28,"all"
"Euphrasia officinalis  subsp. rostkoviana (Hayne) F.Town",37.5,4,16,4,0.5,9.75,16,"all"
"Euphrasia pectinata Ten.",0.5,1,1,0,0.5,0.5,1,"all"
"Euphrasia picta Wimmer",0.5,2,2,0,0.5,0.5,2,"all"
"Euphrasia salisburgensis Funck",0.5,3,3,0,0.5,0.5,3,"all"
"Euphrasia stricta D. Wolff ex J.F. Lehm.",0.5,1,1,0,0.5,0.5,1,"all"
"Evonymus europaeus L.",0.5,1,1,0,0.5,0.5,1,"all"
"Fagus sylvatica L.",62.5,1,15,6,0.5,17.9333333333333,15,"all"
"Festuca acuminata Gaudin",37.5,7,14,7,26.25,24.1785714285714,14,"all"
"Festuca altissima All.",0.5,2,2,0,0.5,0.5,2,"all"
"Festuca arundinacea Schreber",37.5,3,5,3,37.5,22.7,5,"all"
"Festuca arundinacea Schreber subsp. arundinacea",37.5,2,3,2,37.5,25.1666666666667,3,"all"
"Festuca filiformis Pourret",37.5,1,1,1,37.5,37.5,1,"all"
"Festuca flavescens Bellardi",62.5,1,2,1,31.5,31.5,2,"all"
"Festuca gigantea (L.) Vill.",0.5,5,5,0,0.5,0.5,5,"all"
"Festuca halleri All.",37.5,6,19,6,15,15.2368421052632,19,"all"
"Festuca heterophylla Lam.",0.5,1,1,0,0.5,0.5,1,"all"
"Festuca laevigata Gaudin",37.5,7,27,7,15,14.3888888888889,27,"all"
"Festuca laevigata Gaudin subsp. crassifolia (Gaudin) Kergu.len & Plonka",37.5,3,5,3,37.5,22.7,5,"all"
"Festuca marginata (Hackel) K. Richter subsp. marginata",37.5,1,1,1,37.5,37.5,1,"all"
"Festuca melanopsis Foggi, Gr. Rossi & M.A. Signorini",62.5,1,2,2,50,50,2,"all"
"Festuca nigrescens Lam.",62.5,1,44,22,26.25,22.8636363636364,44,"all"
"Festuca ovina L.",0.5,3,3,0,0.5,0.5,3,"all"
"Festuca paniculata (L.) Schinz & Thell. subsp. paniculata",62.5,2,7,3,15,25.5714285714286,7,"all"
"Festuca pratensis Hudson subsp. apennina (De Not.) Hegi",37.5,3,7,3,15,18.4285714285714,7,"all"
"Festuca pratensis Hudson subsp. pratensis",37.5,4,14,4,0.5,12.1071428571429,14,"all"
"Festuca quadriflora Honckeny",37.5,5,6,5,37.5,33.75,6,"all"
"Festuca rubra L.",37.5,14,35,14,15,18.6142857142857,35,"all"
"Festuca rubra L. subsp. rubra",37.5,1,3,1,15,22.5,3,"all"
"Festuca trichophylla (Gaudin) K. Richter subsp. trichophylla",37.5,1,1,1,37.5,37.5,1,"all"
"Festuca valesiaca Gaudin",37.5,14,37,14,15,20.7702702702703,38,"all"
"Festuca violacea Gaudin",62.5,1,25,14,37.5,23.96,25,"all"
"Filipendula ulmaria (L.) Maxim.",87.5,1,17,8,15,27.2058823529412,17,"all"
"Fourraea alpina (L.) Greuter & Burdet",0.5,1,1,0,0.5,0.5,1,"all"
"Fragaria vesca L.",37.5,8,32,8,0.5,10.203125,33,"all"
"Frangula alnus Miller",37.5,1,2,1,19,19,2,"all"
"Fraxinus excelsior L.",62.5,1,25,13,37.5,23.06,25,"all"
"Fumana procumbens (Dunal) Gren. & Godron",37.5,1,2,1,26.25,26.25,2,"all"
"Gagea fragifera (Vill.) E. Bayer & G. L.pez",0.5,1,1,0,0.5,0.5,1,"all"
"Galeopsis ladanum L.",0.5,2,2,0,0.5,0.5,2,"all"
"Galeopsis ladanum L. subsp. ladanum",0.5,1,1,0,0.5,0.5,2,"all"
"Galeopsis tetrahit L.",37.5,2,16,2,0.5,6.9375,16,"all"
"Galinsoga quadriradiata Ruiz & Pavon",37.5,1,1,1,37.5,37.5,1,"all"
"Galium anisophyllon Vill.",37.5,1,29,1,0.5,1.77586206896552,29,"all"
"Galium aparine L.",0.5,1,1,0,0.5,0.5,1,"all"
"Galium boreale L.",0.5,1,1,0,0.5,0.5,1,"all"
"Galium lucidum All.",0.5,3,3,0,0.5,0.5,3,"all"
"Galium mollugo L.",37.5,5,20,5,15,14.1,20,"all"
"Galium mollugo L. subsp. erectum Syme",37.5,14,63,14,0.5,10.3333333333333,64,"all"
"Galium odoratum (L.) Scop.",37.5,1,4,1,15,17,4,"all"
"Galium palustre L.",37.5,2,7,2,0.5,11.0714285714286,7,"all"
"Galium palustre L. subsp. palustre",15,1,1,0,15,15,1,"all"
"Galium parisiense L.",0.5,1,1,0,0.5,0.5,1,"all"
"Galium pumilum Murray",0.5,23,23,0,0.5,0.5,23,"all"
"Galium rotundifolium L.",0.5,4,4,0,0.5,0.5,4,"all"
"Galium uliginosum L.",37.5,3,12,3,0.5,10.9583333333333,12,"all"
"Galium verum L.",37.5,7,20,7,0.5,13.45,20,"all"
"Galium verum L. subsp. verum",37.5,2,11,2,0.5,7.22727272727273,11,"all"
"Genista sagittalis L.",37.5,1,2,1,26.25,26.25,2,"all"
"Genista tinctoria L.",0.5,3,3,0,0.5,0.5,3,"all"
"Gentiana acaulis L.",37.5,2,27,2,0.5,3.24074074074074,27,"all"
"Gentiana asclepiadea L.",0.5,2,2,0,0.5,0.5,2,"all"
"Gentiana bavarica L. subsp. bavarica",37.5,3,10,3,0.5,11.6,10,"all"
"Gentiana brachyphylla Vill.",0.5,5,5,0,0.5,0.5,5,"all"
"Gentiana clusii Perr. & Song.",0.5,1,1,0,0.5,0.5,1,"all"
"Gentiana cruciata L.",0.5,3,3,0,0.5,0.5,3,"all"
"Gentiana lutea L.",37.5,3,13,3,0.5,10.1538461538462,13,"all"
"Gentiana nivalis L.",37.5,2,8,2,0.5,9.75,8,"all"
"Gentiana orbicularis Schur",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Gentiana purpurea L.",37.5,2,17,2,0.5,5.70588235294118,17,"all"
"Gentiana utriculosa L.",0.5,1,1,0,0.5,0.5,1,"all"
"Gentiana verna L.",0.5,13,13,0,0.5,0.5,13,"all"
"Gentianella campestris (L.) B.rner",37.5,2,22,2,0.5,5.18181818181818,22,"all"
"Gentianella ciliata (L.) Borckh.",0.5,1,1,0,0.5,0.5,1,"all"
"Gentianella tenella (Rottb.) B.rner",0.5,1,1,0,0.5,0.5,1,"all"
"Geranium columbinum L.",0.5,1,1,0,0.5,0.5,1,"all"
"Geranium molle L.",0.5,1,1,0,0.5,0.5,1,"all"
"Geranium phaeum L.",0.5,2,2,0,0.5,0.5,2,"all"
"Geranium pyrenaicum Burm. fil.",15,1,12,0,0.5,1.70833333333333,12,"all"
"Geranium robertianum L.",37.5,3,6,3,19,19,6,"all"
"Geranium robertianum L. subsp. robertianum",37.5,3,8,3,7.75,16.1875,8,"all"
"Geranium sanguineum L.",0.5,1,1,0,0.5,0.5,1,"all"
"Geranium sylvaticum L.",37.5,25,69,25,15,17.4782608695652,69,"all"
"Geum montanum L.",37.5,18,56,18,0.5,14.7232142857143,56,"all"
"Geum reptans L.",37.5,2,2,2,37.5,37.5,2,"all"
"Geum rivale L.",37.5,1,17,1,0.5,2.67647058823529,17,"all"
"Geum urbanum L.",37.5,4,10,4,0.5,15.3,10,"all"
"Glechoma hederacea L.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Globularia bisnagarica L.",0.5,4,4,0,0.5,0.5,4,"all"
"Globularia cordifolia L.",37.5,3,7,3,0.5,16.3571428571429,7,"all"
"Glyceria notata Chevall.",0.5,1,1,0,0.5,0.5,1,"all"
"Gnaphalium supinum L. (b.)",0.5,2,2,0,0.5,0.5,2,"all"
"Gymnadenia conopsea (L.) R. Br. in Aiton fil.",37.5,1,11,1,0.5,3.86363636363636,11,"all"
"Gymnadenia nigra subsp. austriaca (Teppner & E.Klein) Teppner & E.K",0.5,2,2,0,0.5,0.5,2,"all"
"Gymnadenia nigra subsp. rhellicani (Teppner & E.Klein) J.M.Tison, 2",37.5,2,10,2,0.5,7.9,10,"all"
"Gymnocarpium dryopteris (L.) Newman",37.5,1,5,1,0.5,7.9,5,"all"
"Gymnocarpium robertianum (Hoffm.) Newman",37.5,1,8,1,0.5,5.125,8,"all"
"Gypsophila repens L.",37.5,3,13,3,0.5,12.3846153846154,13,"all"
"Hedera helix L.",37.5,2,7,2,0.5,13.1428571428571,7,"all"
"Hedysarum hedysaroides (L.) Schinz & Thell.",37.5,1,5,1,0.5,7.9,5,"all"
"Helianthemum nummularium (L.) Miller",37.5,17,43,17,0.5,16.4767441860465,44,"all"
"Helianthemum oelandicum (L.) DC. subsp. italicum (L.) Cesati",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Helictotrichon parlatorei (Woods) Pilger",15,1,1,0,15,15,1,"all"
"Helleborus foetidus L.",0.5,4,4,0,0.5,0.5,4,"all"
"Hepatica nobilis Schreber",15,1,5,0,0.5,3.4,5,"all"
"Heracleum sphondylium L.",15,3,20,0,0.5,2.675,20,"all"
"Heracleum sphondylium L. subsp. elegans (Crantz) Sch.bler & Martens",37.5,4,6,4,37.5,25.1666666666667,6,"all"
"Heracleum sphondylium L. subsp. sphondylium",37.5,5,10,5,19,19,10,"all"
"Hieracium alpinum L.",0.5,1,1,0,0.5,0.5,1,"all"
"Hieracium amplexicaule L.",15,1,2,0,7.75,7.75,2,"all"
"Hieracium armerioides Arvet-Touvet",0.5,2,2,0,0.5,0.5,2,"all"
"Hieracium bifidum groupe s.ries bifidum-caesioides JMT",NA,NA,NA,NA,NA,NA,1,"all"
"Hieracium glaciale Reyn.",37.5,1,2,1,19,19,2,"all"
"Hieracium halleri Vill.",37.5,2,10,2,0.5,7.9,10,"all"
"Hieracium humile Jacq.",0.5,1,1,0,0.5,0.5,1,"all"
"Hieracium intybaceum All.",37.5,3,8,3,0.5,14.375,8,"all"
"Hieracium isatidifolium Arvet-Touvet gr.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Hieracium lachenalii Suter",37.5,2,9,2,0.5,10.3333333333333,9,"all"
"Hieracium laggeri (Schultz Bip. ex Reichenb. fil.) F",0.5,2,2,0,0.5,0.5,2,"all"
"Hieracium murorum L.",37.5,1,16,1,0.5,3.71875,16,"all"
"Hieracium picroides Vill.",0.5,3,3,0,0.5,0.5,3,"all"
"Hieracium piliferum Hoppe",37.5,1,7,1,0.5,5.78571428571429,7,"all"
"Hieracium prenanthoides Vill.",37.5,2,8,2,0.5,9.75,8,"all"
"Hieracium racemosum Waldst. & Kit. ex Willd.",0.5,1,1,0,0.5,0.5,1,"all"
"Hieracium rionii Gremli",37.5,3,11,3,0.5,10.5909090909091,11,"all"
"Hieracium umbellatum L.",37.5,2,6,2,0.5,12.8333333333333,7,"all"
"Hieracium umbrosum Jord.",0.5,1,1,0,0.5,0.5,1,"all"
"Hieracium villosum Jacq.",0.5,3,3,0,0.5,0.5,3,"all"
"Hieracium virgultorum Jord.",37.5,1,2,1,19,19,2,"all"
"Hieracium x niphostribes Peter",0.5,2,2,0,0.5,0.5,2,"all"
"Hippocrepis comosa L.",37.5,1,28,1,0.5,1.82142857142857,29,"all"
"Hippopha. rhamnoides L. subsp. fluviatilis van Soest",62.5,1,1,1,62.5,62.5,1,"all"
"Holcus lanatus L.",37.5,4,9,4,15,20.1666666666667,9,"all"
"Holcus mollis L., 1759",15,2,2,0,15,15,2,"all"
"Homogyne alpina (L.) Cass.",37.5,16,67,16,0.5,9.76865671641791,67,"all"
"Hordelymus europaeus (L.) C.O. Harz",0.5,2,2,0,0.5,0.5,2,"all"
"Hordeum murinum L. subsp. murinum",37.5,1,1,1,37.5,37.5,1,"all"
"Hugueninia tanacetifolia (L.) Reichenb. subsp. tanacetifolia",37.5,1,1,1,37.5,37.5,1,"all"
"Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829",15,1,7,0,0.5,2.57142857142857,7,"all"
"Hypericum maculatum Crantz subsp. maculatum",37.5,12,41,12,0.5,12.390243902439,41,"all"
"Hypericum perforatum L.",37.5,3,31,3,0.5,4.08064516129032,31,"all"
"Hypericum tetrapterum Fries",0.5,2,2,0,0.5,0.5,2,"all"
"Hypochaeris maculata L.",15,2,8,0,0.5,4.125,8,"all"
"Hypochaeris radicata L.",37.5,1,6,1,0.5,6.66666666666667,6,"all"
"Hyssopus officinalis L. subsp. officinalis",37.5,1,1,1,37.5,37.5,1,"all"
"Ilex aquifolium L.",0.5,3,3,0,0.5,0.5,3,"all"
"Impatiens glandulifera Royle",62.5,1,3,1,0.5,21.1666666666667,3,"all"
"Impatiens noli-tangere L.",0.5,2,2,0,0.5,0.5,2,"all"
"Imperatoria ostruthium L. (b.)",37.5,10,24,10,15,17.7291666666667,24,"all"
"Inula salicina L.",37.5,1,2,1,19,19,2,"all"
"Iris germanica L.",0.5,1,1,0,0.5,0.5,1,"all"
"Iris pseudacorus L.",0.5,2,2,0,0.5,0.5,2,"all"
"Juglans regia L.",37.5,2,5,2,0.5,15.3,5,"all"
"Juncus alpinoarticulatus Chaix, 1785",15,1,1,0,15,15,1,"all"
"Juncus alpinoarticulatus Chaix subsp.alpinoarticulatus",37.5,8,29,8,15,14.7068965517241,29,"all"
"Juncus arcticus Willd.",37.5,1,1,1,37.5,37.5,1,"all"
"Juncus articulatus L.",37.5,2,11,2,0.5,11.1818181818182,11,"all"
"Juncus compressus Jacq.",37.5,1,1,1,37.5,37.5,1,"all"
"Juncus conglomeratus L.",37.5,1,1,1,37.5,37.5,1,"all"
"Juncus effusus L.",37.5,2,7,2,15,15.2142857142857,7,"all"
"Juncus filiformis L.",62.5,1,35,17,15,20.4285714285714,35,"all"
"Juncus inflexus L.",37.5,1,1,1,37.5,37.5,1,"all"
"Juncus jacquinii L.",37.5,4,10,4,7.75,16.75,10,"all"
"Juncus subnodulosus Schrank",37.5,1,1,1,37.5,37.5,1,"all"
"Juncus tenuis Willd.",0.5,1,1,0,0.5,0.5,1,"all"
"Juncus trifidus L.",37.5,7,16,7,7.75,17.59375,16,"all"
"Juncus triglumis L.",37.5,1,3,1,15,17.6666666666667,3,"all"
"Juniperus communis L.",37.5,2,7,2,0.5,11.0714285714286,7,"all"
"Juniperus sibirica Loddiges in Burgsd.",62.5,1,39,15,15,17.6025641025641,39,"all"
"Kandis perfoliata (L.) Kergu.len",0.5,1,1,0,0.5,0.5,1,"all"
"Kernera saxatilis (L.) Sweet",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Knautia arvensis (L.) Coulter",37.5,13,38,13,0.5,14.3026315789474,38,"all"
"Knautia dipsacifolia Kreutzer",37.5,5,15,5,0.5,13.8,15,"all"
"Kobresia myosuroides (Vill.) Fiori",37.5,6,11,6,37.5,24.6363636363636,11,"all"
"Kobresia simpliciuscula (Wahlenb.) Mackenzie",62.5,1,4,2,26.25,28.875,4,"all"
"Koeleria macrantha groupe",37.5,3,5,3,37.5,22.7,5,"all"
"Koeleria pyramidata (Lam.) P. Beauv.",37.5,2,6,2,0.5,12.8333333333333,7,"all"
"Koeleria vallesiana (Honckeny) Gaudin",37.5,1,5,1,0.5,7.9,5,"all"
"Lactuca serriola L.",0.5,1,1,0,0.5,0.5,1,"all"
"Lamium galeobdolon (L.) L. subsp. montanum (Pers.) Hayek",37.5,6,9,6,37.5,28.3888888888889,9,"all"
"Lamium maculatum L.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Lamium purpureum L.",0.5,1,1,0,0.5,0.5,1,"all"
"Lapsana communis L. subsp. communis",0.5,1,1,0,0.5,0.5,1,"all"
"Lapsana communis L. subsp. intermedia (M. Bieb.) Hayek",37.5,1,1,1,37.5,37.5,1,"all"
"Larix decidua Miller",87.5,1,22,10,15,24.5,22,"all"
"Laserpitium halleri Crantz",37.5,4,20,4,0.5,9.35,20,"all"
"Laserpitium latifolium L.",37.5,2,7,2,0.5,11.0714285714286,7,"all"
"Lathyrus heterophyllus L.",37.5,1,8,1,0.5,5.125,8,"all"
"Lathyrus linifolius (Reichard) B.ssler",0.5,1,1,0,0.5,0.5,1,"all"
"Lathyrus occidentalis (Fisch. & C.A. Meyer) Fritsch",0.5,1,1,0,0.5,0.5,2,"all"
"Lathyrus pratensis L.",37.5,9,51,9,0.5,8.16666666666667,51,"all"
"Lathyrus sylvestris L.",0.5,1,1,0,0.5,0.5,1,"all"
"Lathyrus tuberosus L.",37.5,1,1,1,37.5,37.5,1,"all"
"Lathyrus vernus (L.) Bernh.",0.5,1,1,0,0.5,0.5,1,"all"
"Leontodon autumnalis L. subsp. autumnalis",37.5,4,13,4,0.5,14.1153846153846,13,"all"
"Leontodon helveticus M.rat (b.)",0.5,9,9,0,0.5,0.5,9,"all"
"Leontodon hispidus L.",37.5,32,98,32,0.5,14.8010204081633,98,"all"
"Leontodon montanus Lam.",37.5,1,1,1,37.5,37.5,1,"all"
"Leontodon pyrenaicus Gouan subsp. helveticus (M.rat) Finch & P.D. Sell",37.5,19,51,19,15,17.4117647058824,51,"all"
"Leontopodium alpinum Cass.",15,1,2,0,7.75,7.75,2,"all"
"Lepidium virginicum L.",0.5,2,2,0,0.5,0.5,2,"all"
"Leucanthemopsis alpina (L.) Heywood",37.5,8,41,8,0.5,8.42682926829268,41,"all"
"Leucanthemum adustum (Koch) Gremli",37.5,4,11,4,0.5,13.9545454545455,11,"all"
"Leucanthemum vulgare Lam.",37.5,10,69,10,0.5,6.91304347826087,69,"all"
"Ligustrum vulgare L.",0.5,1,1,0,0.5,0.5,1,"all"
"Lilium martagon L.",0.5,2,2,0,0.5,0.5,2,"all"
"Linaria alpina (L.) Miller subsp. alpina",37.5,1,11,1,0.5,3.86363636363636,11,"all"
"Linum alpinum Jacq.",0.5,2,2,0,0.5,0.5,2,"all"
"Linum catharticum L.",37.5,2,27,2,0.5,3.24074074074074,27,"all"
"Linum tenuifolium L.",0.5,1,1,0,0.5,0.5,1,"all"
"Listera cordata (L.) R. Br.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Listera ovata (L.) R. Br.",37.5,1,6,1,0.5,6.66666666666667,6,"all"
"Logfia arvensis (L.) J. Holub",0.5,1,1,0,0.5,0.5,1,"all"
"Loiseleuria procumbens (L.) Desv.",37.5,3,7,3,15,20.5,7,"all"
"Lolium multiflorum Lam.",15,1,2,0,7.75,7.75,2,"all"
"Lolium perenne L.",37.5,2,8,2,7.75,13.375,8,"all"
"Lonicera alpigena L.",37.5,1,2,1,19,19,2,"all"
"Lonicera caerulea L.",37.5,1,4,1,7.75,13.375,4,"all"
"Lonicera nigra L.",0.5,2,2,0,0.5,0.5,2,"all"
"Lonicera xylosteum L.",37.5,4,8,4,26.25,24.4375,8,"all"
"Lotus alpinus (DC.) Schleicher ex Ramond",37.5,5,24,5,0.5,8.20833333333333,24,"all"
"Lotus corniculatus L.",37.5,18,115,18,0.5,8.05652173913044,116,"all"
"Lotus corniculatus L. var. alpinus DC. (b.)",0.5,3,3,0,0.5,0.5,3,"all"
"Lotus maritimus L.",0.5,1,1,0,0.5,0.5,1,"all"
"Lotus pedunculatus Cav.",0.5,2,2,0,0.5,0.5,2,"all"
"Luzula alpina Hoppe in Sturm",0.5,1,1,0,0.5,0.5,1,"all"
"Luzula alpinopilosa (Chaix) Breistr.",37.5,6,32,6,0.5,8.796875,32,"all"
"Luzula campestris (Ehrh.) Lej.",0.5,11,11,0,0.5,0.5,11,"all"
"Luzula lutea (All.) DC.",37.5,8,30,8,0.5,10.85,30,"all"
"Luzula multiflora (Ehrh.) Lej. subsp. multiflora",37.5,10,32,10,0.5,12.515625,32,"all"
"Luzula nivea (L.) DC.",37.5,4,10,4,7.75,16.75,10,"all"
"Luzula nutans (Vill.) Duval-Jouve",0.5,1,1,0,0.5,0.5,1,"all"
"Luzula pilosa (L.) Willd.",0.5,1,1,0,0.5,0.5,1,"all"
"Luzula sieberi Tausch",37.5,5,13,5,0.5,14.7307692307692,13,"all"
"Luzula spicata (L.) DC.",37.5,1,9,1,0.5,4.61111111111111,9,"all"
"Luzula sudetica (Willd.) DC. in Lam. & DC. [1815]",37.5,2,10,2,0.5,7.9,10,"all"
"Luzula sylvatica groupe",37.5,1,2,1,19,19,2,"all"
"Luzula sylvatica (Hudson) Gaudin",0.5,1,1,0,0.5,0.5,1,"all"
"Lycopodium annotinum L., 1753",37.5,3,8,3,0.5,14.375,8,"all"
"Lycopodium clavatum L.",37.5,2,4,2,26.25,22.625,4,"all"
"Lysimachia nemorum L.",15,1,1,0,15,15,1,"all"
"Lysimachia nummularia L.",0.5,1,1,0,0.5,0.5,1,"all"
"Lysimachia vulgaris L.",37.5,1,2,1,26.25,26.25,2,"all"
"Lythrum salicaria L.",15,1,1,0,15,15,1,"all"
"Maianthemum bifolium (L.) F.W. Schmidt",37.5,5,12,5,0.5,15.9166666666667,12,"all"
"Malva alcea L.",0.5,1,1,0,0.5,0.5,1,"all"
"Malva moschata L.",0.5,3,3,0,0.5,0.5,3,"all"
"Malva sylvestris L.",37.5,2,2,2,37.5,37.5,2,"all"
"Matricaria discoidea DC.",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Matricaria perforata M.rat",0.5,1,1,0,0.5,0.5,1,"all"
"Medicago lupulina L.",37.5,4,25,4,0.5,7,26,"all"
"Medicago minima (L.) L.",0.5,1,1,0,0.5,0.5,2,"all"
"Medicago sativa L.",37.5,5,14,5,15,16.8214285714286,14,"all"
"Medicago x-varia T. Martyn",0.5,2,2,0,0.5,0.5,2,"all"
"Melampyrum nemorosum L.",37.5,1,1,1,37.5,37.5,1,"all"
"Melampyrum pratense L.",37.5,2,15,2,0.5,5.43333333333333,15,"all"
"Melampyrum sylvaticum L.",37.5,8,21,8,15,16.6666666666667,21,"all"
"Melampyrum vaudense (Ronniger) So.",37.5,1,1,1,37.5,37.5,1,"all"
