"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Anthoxanthum odoratum L.",37.5,42,111,42,15,16.5900900900901,111,"all"
"Anthoxanthum odoratum L. subsp. nipponicum (Honda) Tzvelev",37.5,10,38,10,0.5,13.2894736842105,38,"all"
"Anthoxanthum odoratum L. subsp. odoratum",37.5,2,16,2,0.5,8.75,16,"all"
"Anthriscus nitida (Wahlenb.) Garcke",0.5,2,2,0,0.5,0.5,2,"all"
"Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris",37.5,2,5,2,15,18.2,5,"all"
"Anthyllis vulneraria L.",37.5,10,32,10,0.5,12.96875,32,"all"
"Anthyllis vulneraria L. subsp. alpestris (Kit.) Ascherson & Graebner",37.5,1,9,1,0.5,4.61111111111111,9,"all"
"Aquilegia vulgaris L.",0.5,2,2,0,0.5,0.5,2,"all"
"Arabis alpina L.",0.5,6,6,0,0.5,0.5,6,"all"
"Arabis auriculata Lam.",0.5,3,3,0,0.5,0.5,3,"all"
"Arabis caerulea (All.) Haenke",0.5,2,2,0,0.5,0.5,2,"all"
"Arabis ciliata Clairv.",0.5,8,8,0,0.5,0.5,8,"all"
"Arabis hirsuta (L.) Scop.",0.5,8,8,0,0.5,0.5,9,"all"
"Arabis soyeri Reuter & Huet subsp. subcoriacea (Gren.) Breistr.",0.5,2,2,0,0.5,0.5,2,"all"
"Arctium lappa L.",62.5,1,5,4,37.5,35.1,5,"all"
"Arctostaphylos uva-ursi (L.) Sprengel",62.5,1,7,3,0.5,19.9285714285714,7,"all"
"Arenaria biflora L.",37.5,1,7,1,0.5,7.85714285714286,7,"all"
"Arenaria serpyllifolia L.",0.5,7,7,0,0.5,0.5,8,"all"
"Arenaria serpyllifolia L. subsp. serpyllifolia",0.5,3,3,0,0.5,0.5,3,"all"
"Armeria alpina Willd.",0.5,2,2,0,0.5,0.5,2,"all"
"Arnica montana L.",37.5,7,42,7,0.5,7.35714285714286,42,"all"
