"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
10177,3,1,2,0,2.5,2.5,222,"all"
8193,NA,NA,NA,NA,NA,NA,1,"all"
1684,2,6,27,0,1,1.22222222222222,869,"all"
11315,3,1,6,0,1,1.5,313,"all"
3401,3,1,41,0,1,1.4390243902439,501,"all"
8248,3,1,2,0,2,2,29,"all"
4672,4,1,341,0,1,1.43401759530792,2851,"all"
4152,NA,NA,NA,NA,NA,NA,14,"all"
2706,4,2,55,0,1,1.18181818181818,1224,"all"
16202,3,1,48,0,1,1.25,585,"all"
4439,NA,NA,NA,NA,NA,NA,25,"all"
11290,4,6,394,0,1,1.28172588832487,9087,"all"
16062,1,2,2,0,1,1,65,"all"
16663,1,1,1,0,1,1,19,"all"
6736,2,1,8,0,1,1.125,383,"all"
10920,3,2,324,0,1,1.13888888888889,3182,"all"
40244,4,1,42,0,1,1.23809523809524,1169,"all"
10355,NA,NA,NA,NA,NA,NA,2,"all"
40419,2,11,40,0,1,1.275,490,"all"
10780,1,1,1,0,1,1,5,"all"
8035,2,1,8,0,1,1.125,136,"all"
7006,3,1,6,0,2,1.83333333333333,174,"all"
14042,2,8,67,0,1,1.11940298507463,406,"all"
5139,NA,NA,NA,NA,NA,NA,2,"all"
4754,1,1,1,0,1,1,35,"all"
40408,2,4,25,0,1,1.16,398,"all"
6116,2,2,5,0,1,1.4,120,"all"
14721,3,2,13,0,1,1.46153846153846,251,"all"
15735,3,3,45,0,1,1.48888888888889,520,"all"
579,3,3,35,0,1,1.45714285714286,194,"all"
14937,NA,NA,NA,NA,NA,NA,7,"all"
2348,1,1,1,0,1,1,9,"all"
1554,3,6,60,0,1,1.4,1897,"all"
40220,3,5,272,0,1,1.15073529411765,3718,"all"
1156,2,1,3,0,1,1.33333333333333,20,"all"
2334,3,10,189,0,1,1.25925925925926,2752,"all"
2089,1,10,10,0,1,1,98,"all"
13356,4,3,118,0,1,1.66949152542373,2433,"all"
40531,4,1,33,0,1,1.27272727272727,851,"all"
12760,2,1,4,0,1,1.25,725,"all"
2518,4,7,336,0,1,1.30952380952381,5817,"all"
4909,NA,NA,NA,NA,NA,NA,5,"all"
11888,3,1,16,0,2,1.625,500,"all"
40163,NA,NA,NA,NA,NA,NA,38,"all"
368,3,6,506,0,1,1.19762845849802,3047,"all"
233,3,2,14,0,1,1.5,283,"all"
4628,5,6,133,0,1,1.93984962406015,2305,"all"
11429,4,6,286,0,1,1.37062937062937,4202,"all"
9275,3,1,26,0,2,1.57692307692308,271,"all"
3588,2,6,10,0,2,1.6,320,"all"
5507,NA,NA,NA,NA,NA,NA,6,"all"
9269,NA,NA,NA,NA,NA,NA,5,"all"
7407,4,6,42,0,1,1.9047619047619,399,"all"
3879,4,3,134,0,1,1.61194029850746,1350,"all"
4132,1,7,7,0,1,1,79,"all"
518,3,2,2,0,3,3,48,"all"
9273,NA,NA,NA,NA,NA,NA,2,"all"
6178,NA,NA,NA,NA,NA,NA,4,"all"
2346,4,2,176,0,1,1.20454545454545,3003,"all"
7042,4,4,221,0,1,1.55656108597285,3463,"all"
3629,NA,NA,NA,NA,NA,NA,240,"all"
11057,3,1,67,0,1,1.3134328358209,611,"all"
6141,2,1,2,0,1.5,1.5,17,"all"
3941,1,3,3,0,1,1,179,"all"
4281,5,1,90,0,1,1.65555555555556,1427,"all"
11443,5,1,672,0,1,1.39285714285714,3852,"all"
6625,4,1,18,0,2,1.83333333333333,307,"all"
2017,4,1,19,0,1,1.52631578947368,241,"all"
7427,4,2,152,0,1,1.5,2674,"all"
2327,5,2,73,0,1,1.73972602739726,1923,"all"
2940,5,14,1356,0,1,1.60619469026549,7962,"all"
40179,5,1,124,0,1,1.54032258064516,1125,"all"
12358,NA,NA,NA,NA,NA,NA,45,"all"
2105,3,3,139,0,1,1.27338129496403,3072,"all"
1871,4,2,16,0,1.5,1.8125,632,"all"
4212,3,1,5,0,1,1.4,170,"all"
2905,4,4,252,0,1,1.30555555555556,2998,"all"
