"x"
"Abies alba Miller"
"Aceras anthropophorum (L.) Aiton fil."
"Acer campestre L., 1753"
"Acer platanoides L."
"Acer pseudoplatanus L."
"Achillea collina Reichb."
"Achillea erba-rotta All."
"Achillea erba-rotta All. ""herba-rotta"" var. ambigua Heimerl (b.)"
"Achillea erba-rotta All. subsp. moschata (Wulfen) Vaccari"
"Achillea macrophylla L."
"Achillea millefolium L."
"Achillea millefolium L. subsp. millefolium"
"Achillea nana L."
"Achillea nobilis L."
"Achillea roseo-alba Ehrend."
"Achnatherum calamagrostis (L.) P. Beauv."
"Acinos alpinus (L.) Moench subsp. alpinus"
"Acinos arvensis (Lam.) Dandy"
"Aconitum lycoctonum L."
"Aconitum lycoctonum L. subsp. neapolitanum (Ten.) Nyman"
"Actaea spicata L."
"Adenostyles alliariae (Gouan) Kerner"
"Adoxa moschatellina L."
"Aegopodium podagraria L."
"Agrimonia eupatoria L."
"Agrostis agrostiflora (G. Beck) Rauschert"
"Agrostis alpina Scop."
"Agrostis canina L."
"Agrostis capillaris L."
"Agrostis capillaris L. subsp. capillaris"
"Agrostis gigantea Roth"
"Agrostis rupestris All."
"Agrostis stolonifera L."
"Ajuga chamaepitys (L.) Schreber"
"Ajuga pyramidalis L."
"Ajuga reptans L."
"Alchemilla alpigena Buser"
"Alchemilla alpina L."
"Alchemilla conjuncta Bab."
"Alchemilla coriacea Buser"
"Alchemilla fissa G.nther & Schummel"
"Alchemilla glabra Neygenf., non Poiret"
"Alchemilla glaucescens Wallr."
"Alchemilla hybrida (L.) L., nom. ambig."
"Alchemilla monticola Opiz"
"Alchemilla pentaphyllea L."
"Alchemilla subsericea Reuter"
"Alchemilla vulgaris groupe"
"Alchemilla xanthochlora Rothm."
"Alliaria petiolata (M. Bieb.) Cavara & Grande"
"Allium oleraceum L."
"Allium schoenoprasum L."
"Allium sphaerocephalon L., 1753"
"Allium ursinum L., 1753"
"Allium vineale L."
"Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula"
"Alnus glutinosa (L.) Gaertn."
"Alnus incana (L.) Moench"
"Alnus viridis (Chaix) DC."
"Alopecurus myosuroides Hudson."
"Alyssum alyssoides (L.) L."
"Amaranthus hybridus L."
"Amelanchier ovalis Medik."
"Anagallis arvensis L."
"Andromeda polifolia L."
"Androsace alpina (L.) Lam."
"Androsace obtusifolia All."
"Angelica sylvestris L."
"Angelica sylvestris L. subsp. sylvestris"
"Antennaria carpatica subsp. helvetica (Chrtek & Pouzar) Chrtek & Pouzar"
"Antennaria dioica (L.) Gaertner"
"Anthemis cotula L."
"Anthericum liliago L."
"Anthoxanthum odoratum L."
"Anthoxanthum odoratum L. subsp. nipponicum (Honda) Tzvelev"
"Anthoxanthum odoratum L. subsp. odoratum"
"Anthriscus nitida (Wahlenb.) Garcke"
"Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris"
"Anthyllis vulneraria L."
"Anthyllis vulneraria L. subsp. alpestris (Kit.) Ascherson & Graebner"
"Aquilegia vulgaris L."
"Arabis alpina L."
"Arabis auriculata Lam."
"Arabis caerulea (All.) Haenke"
"Arabis ciliata Clairv."
"Arabis hirsuta (L.) Scop."
"Arabis soyeri Reuter & Huet subsp. subcoriacea (Gren.) Breistr."
"Arctium lappa L."
"Arctostaphylos uva-ursi (L.) Sprengel"
"Arenaria biflora L."
"Arenaria serpyllifolia L."
"Arenaria serpyllifolia L. subsp. serpyllifolia"
"Armeria alpina Willd."
"Arnica montana L."
"Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl subsp. elatius"
"Artemisia absinthium L."
"Artemisia campestris L. subsp. campestris"
"Artemisia genipi Weber"
"Artemisia umbelliformis Lam."
"Artemisia vulgaris L."
"Arum maculatum L."
"Aruncus dioicus (Walter) Fernald"
"Asarum europaeum L."
"Asperula cynanchica L."
"Asplenium adiantum-nigrum L."
"Asplenium ramosum L. [1753]"
"Asplenium ruta-muraria L."
"Asplenium ruta-muraria L. subsp. ruta-muraria"
"Asplenium septentrionale (L.) Hoffm., 1795"
"Asplenium trichomanes L."
"Asplenium trichomanes L. subsp. quadrivalens D.E. Meyer"
"Asplenium x alternifolium subsp. alternifolium"
"Aster alpinus L."
"Aster bellidiastrum (L.) Scop."
"Astragalus alpinus L."
"Astragalus glycyphyllos L."
"Astragalus monspessulanus L."
"Astragalus onobrychis L."
"Astragalus penduliflorus Lam."
"Astragalus sempervirens Lam."
"Astrantia major L."
"Astrantia minor L."
"Athamanta cretensis L."
"Athyrium distentifolium Tausch ex Opiz"
"Athyrium filix-femina (L.) Roth"
"Avena versicolor Vill. (b.)"
"Avenula pubescens (Hudson) Dumort."
"Avenula versicolor (Vill.) La.nz subsp. versicolor"
"Bartsia alpina L."
"Bellardiochloa variegata (Lam.) Kergu.len"
"Berberis vulgaris L."
"Berteroa incana (L.) DC."
"Betula alba L."
"Betula alba L. subsp. alba"
"Betula alba L. subsp. glutinosa (Berher) Holub"
"Betula pendula Roth"
"Biscutella laevigata L."
"Blechnum spicant (L.) Roth"
"Blysmus compressus (L.) Panzer ex Link"
"Bothriochloa ischaemum (L.) Keng"
"Botrychium lunaria (L.) Swartz"
"Brachypodium pinnatum (L.) P. Beauv."
"Brachypodium rupestre (Host) Roemer & Schultes"
"Brachypodium sylvaticum (Hudson) P. Beauv. subsp. sylvaticum"
"Briza media L."
"Bromus benekenii (Lange) Trimen"
"Bromus erectus Hudson"
"Bromus hordeaceus L. subsp. hordeaceus"
"Bromus squarrosus L."
"Bunium bulbocastanum L."
"Bupleurum ranunculoides L. subsp. ranunculoides"
"Bupleurum stellatum L."
"Cacalia alliariae Gouan subsp. alliariae"
"Cacalia alpina L."
"Cacalia leucophylla Willd."
"Calamagrostis epigejos (L.) Roth"
"Calamagrostis varia (Schrader) Host subsp. varia"
"Calamagrostis villosa (Chaix) J.F. Gmelin"
"Calamintha grandiflora (L.) Moench"
"Calluna vulgaris (L.) Hull"
"Caltha palustris L."
"Calystegia sepium (L.) R. Br. subsp. sepium"
"Campanula barbata L."
"Campanula cochleariifolia Lam."
"Campanula glomerata L."
"Campanula glomerata L. subsp. cervicarioides (Schultes) Arcangeli"
"Campanula glomerata L. subsp. glomerata"
"Campanula latifolia L."
"Campanula patula L."
"Campanula persicifolia L."
"Campanula rhomboidalis L."
"Campanula rotundifolia L."
"Campanula scheuchzeri Vill. subsp. scheuchzeri"
"Campanula spicata L."
"Campanula trachelium L."
"Capsella bursa-pastoris (L.) Medik."
"Cardamine amara L. subsp. amara"
"Cardamine bellidifolia L. subsp. alpina (Willd.) B.M.G. Jones"
"Cardamine impatiens L., 1753"
"Cardamine pentaphyllos (L.) Crantz"
"Cardamine resedifolia L."
"Carduus defloratus L. subsp. defloratus"
"Carduus nutans L."
"Carduus nutans L. subsp. nutans"
"Carduus personata (L.) Jacq., 1776"
"Carex acutiformis Ehrh."
"Carex atrata L. subsp. atrata"
"Carex bicolor All."
"Carex brunnescens (Pers.) Poiret"
"Carex capillaris L."
"Carex caryophyllea Latourr."
"Carex curta Good"
"Carex curvula All."
"Carex curvula All. subsp. curvula"
"Carex curvula All. subsp. rosae Gilomen"
"Carex davalliana Sm."
"Carex digitata L."
"Carex divulsa Stokes"
"Carex echinata Murray"
"Carex ferruginea Scop."
"Carex flacca Schreber"
"Carex flacca Schreber subsp. flacca"
"Carex flava groupe"
"Carex flava L."
"Carex foetida All."
"Carex frigida All."
"Carex halleriana Asso"
"Carex hirta L."
"Carex hostiana DC."
"Carex lachenalii Schkuhr"
"Carex lasiocarpa Ehrh."
"Carex limosa L."
"Carex liparocarpos Gaudin, 1804"
"Carex magellanica Lam. subsp. irrigua (Wahlenb.) Hiitonen"
"Carex maritima Gunnerus, 1772"
"Carex microglochin Wahlenb."
"Carex montana L."
"Carex nigra (L.) Reichard"
"Carex ornithopoda Willd."
"Carex ornithopoda Willd. subsp. ornithopoda"
"Carex ornithopoda Willd. subsp. ornithopodioides (Hausm.) Nyman"
"Carex ovalis Good."
"Carex pairae F.W. Schultz"
"Carex pallescens L."
"Carex panicea L."
"Carex paniculata L."
"Carex parviflora Host"
"Carex pauciflora Lighft."
"Carex pendula Hudson"
"Carex pilulifera L."
"Carex rostrata Stokes"
"Carex sempervirens Vill. subsp. sempervirens"
"Carex spicata Hudson"
"Carex sylvatica Hudson"
"Carex viridula Michaux subsp. brachyrrhyncha (Celak.) B. Schmid"
"Carex viridula Michaux subsp. viridula"
"Carlina acaulis L. subsp. caulescens (Lam.) Sch.bl. & Martens"
"Carlina vulgaris L. subsp. vulgaris"
"Carpinus betulus L."
"Carum carvi L."
"Castanea sativa Miller"
"Centaurea jacea groupe"
"Centaurea jacea L."
"Centaurea montana L."
"Centaurea scabiosa L."
"Centaurea uniflora Turra subsp. nervosa (Willd.) Bonnier & Layens"
"Centaurea uniflora Turra subsp. uniflora"
"Centranthus angustifolius (Miller) DC."
"Cephalanthera rubra (L.) L.C.M. Richard"
"Cerastium arvense L."
"Cerastium arvense L. subsp. strictum (Koch) Gremli"
"Cerastium arvense L. var. strictum Koch (b.)"
"Cerastium cerastoides (L.) Britton"
"Cerastium fontanum Baumg. subsp. vulgare (Hartm.) Greuter & Burdet"
"Cerastium latifolium L."
"Cerastium pedunculatum Gaudin"
"Cerastium tomentosum L."
"Cervaria rivini Gaetner"
"Chaerophyllum aureum L."
"Chaerophyllum hirsutum L."
"Chaerophyllum villarsii Koch"
"Chenopodium album L. subsp. album"
"Chenopodium bonus-henricus L."
"Chondrilla juncea L."
"Cicerbita alpina (L.) Wallr."
"Circaea lutetiana L., 1753"
"Cirsium acaule Scop."
"Cirsium arvense (L.) Scop."
"Cirsium eriophorum (L.) Scop."
"Cirsium oleraceum (L.) Scop."
"Cirsium palustre (L.) Scop."
"Cirsium spinosissimum (L.) Scop."
"Cirsium vulgare (Savi) Ten. subsp. vulgare"
"Clinopodium vulgare L."
"Coeloglossum viride (L.) Hartman"
"Colchicum alpinum DC."
"Colchicum autumnale L."
"Convolvulus arvensis L."
"Cornus sanguinea L."
"Corylus avellana L."
"Cotoneaster integerrimus Medik."
"Cotoneaster pyrenaicus Gandoger"
"Crataegus monogyna Jacq."
"Crepis aurea (L.) Cass."
"Crepis biennis L."
"Crepis bocconi P.D. Sell"
"Crepis conyzifolia (Gouan) A. Kerner"
"Crepis paludosa (L.) Moench"
"Crepis pyrenaica (L.) W. Greuter"
"Crepis setosa Haller fil."
"Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Schinz & R. Keller"
"Crocus albiflorus Kit. (b.)"
"Crocus vernus (L.) Hill subsp. albiflorus (Kit.) Cesati"
"Cruciata laevipes Opiz"
"Cryptogramma crispa (L.) R. Br. ex Hooker"
"Cuscuta epithymum (L.) L."
"Cuscuta europaea L."
"Cynoglossum officinale L."
"Cynosurus cristatus L."
"Cystopteris alpina (Lam.) Desv."
"Cystopteris fragilis (L.) Bernh."
"Dactylis glomerata L."
"Dactylis glomerata L. subsp. glomerata"
"Dactylorhiza fuchsii (Druce) So., 1962"
"Dactylorhiza incarnata (L.) So."
"Dactylorhiza latifolia (L.) So."
"Dactylorhiza maculata (L.) So."
"Dactylorhiza majalis (Reichenb.) P.F. Hunt & Summerhay"
