	C1_ruderal	C2_VaccUli	C3_cushion	C4_shrubs	C5_CallVulg	C6_VaccMyrt	H1_alpines	H10_megaph	H2_dryGrass	H3_coolGrass	H4_undergrowth	H5_poorGrass	H6_megaph	H7_rocks	H8_notgraz	H9_NardStri	P1_ubacPion	P2_river	P3_ubac2	P4_larix	P5_alpext	P6_alpint	P7_acer	P8_BetAlb
DISPERS_DIST_d50	400	40	1	400	400	500	2	500	400	500	2	2	2	100	2	500	400	100	40	400	400	40	40	40
DISPERS_DIST_d99	1500	150	2	1500	1500	5000	15	5000	1500	5000	15	15	15	500	15	5000	1500	500	150	1500	1500	150	150	150
DISPERS_DIST_ldd	10000	5000	1000	10000	10000	10000	1000	10000	10000	10000	1000	1000	1000	5000	1000	10000	10000	5000	5000	10000	10000	5000	5000	5000
