species	GROUP	height	dispersal	palatability	light
3116	H	5	7	3	7
7696	H	4	7	3	7
10845	H	6.89202437604511	7	1	8
13120	H	8.21583836257749	7	3	6
7796	H	7.24568837309472	7	3	7
10398	H	8.36660026534076	1	0	5
11057	H	10	1	1	5
17798	H	8.66025403784439	3	0	5
17587	H	8.66025403784439	3	0	4
17589	H	8.36660026534076	3	0	5
2740	H	9.48683298050514	3	0	4
15250	H	8.36660026534076	3	3	8
15299	H	7.07106781186548	3	3	7
13677	H	5.47722557505166	2	3	7
989	H	4.47213595499958	3	3	6
15630	H	7.41619848709566	3	3	8
15654	H	8.21583836257749	4	3	8
15851	H	6.89202437604511	3	3	6
9276	H	5	5	3	8
15977	H	6.32455532033676	3	3	9
16062	H	7.07106781186548	3	3	5
16101	H	5.91607978309962	3	3	8
16119	H	5	3	3	7
40272	H	5.91607978309962	3	3	6
16193	H	8.06225774829855	3	3	9
16351	H	8.06225774829855	3	3	9
4158	H	7.74596669241483	2	3	7
8330	H	6.70820393249937	1	3	7
16439	H	5	3	3	8
446	H	6.32455532033676	3	3	8
457	H	7.74596669241483	3	3	7
2500	H	4.47213595499958	3	3	7
2509	H	5	3	3	7
14713	H	7.07106781186548	3	3	6
16645	H	5.47722557505166	3	3	7
10590	H	5	3	1	6
10646	H	5.09901951359278	4	1	8
8742	H	7.07106781186548	4	3	7
5406	H	6.32455532033676	2	3	7
16932	H	7.07106781186548	3	3	9
3209	H	4.79583152331272	3	3	8
16969	H	7.41619848709566	3	3	7
3709	H	5.47722557505166	1	3	5
15600	H	8.94427190999916	3	3	7
15624	H	8.36660026534076	3	3	6
1080	H	10.9544511501033	5	3	6
15744	H	8.66025403784439	5	3	5
3941	H	6.32455532033676	1	3	3
13933	H	6.32455532033676	4	3	6
290	H	8.94427190999916	1	3	6
302	H	8.66025403784439	1	3	6
1455	H	10.9544511501033	3	3	6
9271	H	10.4163333279998	5	3	6
15985	H	9.21954445729289	3	3	3
8059	H	9.48683298050514	4	1	7
2144	H	6.70820393249937	3	1	4
2225	H	8.36660026534076	3	1	5
6285	H	9.48683298050514	3	3	6
449	H	9.61769203083567	3	3	6
14703	H	7.07106781186548	1	3	5
16496	H	6.51920240520265	3	3	4
6653	H	5.33853912601566	3	3	5
16509	H	9.08295106229247	3	3	5
16524	H	10	4	3	6
9402	H	2.82842712474619	2	3	3
16758	H	5.97215762238964	3	3	5
10626	H	6.32455532033676	3	1	6
12264	H	4.41588043316392	1	3	4
2899	H	10	5	3	6
2942	H	7.64852927038918	3	3	6
13157	H	10.9544511501033	3	3	6
13241	H	3.3166247903554	4	3	4
17509	H	3.16227766016838	5	0	5
17519	H	2.44948974278318	5	0	8
17525	H	3.16227766016838	5	0	6
1085	H	6.32455532033676	5	0	6
17464	H	4.47213595499958	5	0	7
17806	H	5.33853912601566	5	0	5
17641	H	5.70087712549569	5	0	7
17822	H	4.47213595499958	5	0	6
2199	H	3.60555127546399	5	1	7
2393	H	3.87298334620742	3	0	6
2685	H	3.87298334620742	3	0	5
3244	H	3.87298334620742	5	0	7
17838	H	2.82842712474619	5	0	7
1087	H	6.32455532033676	5	0	7
1544	H	6.70820393249937	5	0	8
8017	H	2.23606797749979	1	1	8
4312	H	2	1	1	8
2648	H	1.73205080756888	3	0	8
14860	H	7.07106781186548	2	0	8
15466	H	4.79583152331272	7	3	8
16538	H	4.30116263352131	7	1	7
16782	H	3.87298334620742	7	3	8
5512	H	3.87298334620742	7	3	7
40244	H		6	3	7
10944	H	5	6		
10992	H		6	3	
11035	H		6	3	6
10451	H	3.46410161513775		3	8
4885	H	1.4142135623731	4		8
913	H				
930	H				
948	C	3.46410161513775	1		8
11760	C	4.47213595499958			8
13742	H	9.48683298050514		1	8
17512	H	2.91547594742265	5		7
6765	H				
6777	C	3.87298334620742		3	9
17797	H	7.74596669241483	5		5
13828	H	4.18330013267038	6		8
40225	H	7.07106781186548		3	9
14115	H				
13888	H	4.24264068711928		3	9
13889	H	4.24264068711928		3	9
13892	H	4.47213595499958	6		8
14090	H	7.74596669241483	2		8
14129	H	6.32455532033676			7
4007	H	6.32455532033676	6		8
13804	H	4.47213595499958	6		5
10525	H	8.36660026534076	2		7
14193	H	3.67423461417477	4		8
15944	H	7.74596669241483		3	7
9269	H	4.47213595499958		3	7
9273	H	4.18330013267038		3	8
17650	H	5.91607978309962	5		7
17656	H	4.47213595499958	5		8
16087	H		3	3	4
16201	H	8.06225774829855		3	
16291	H				
8509	H	5	7		8
11856	H	2.23606797749979	1		8
11888	H	2.23606797749979		3	8
6979	C	4.47213595499958	2		7
8193	H	5.47722557505166		3	4
8207	H	5.56776436283002	4		5
7006	H	7.07106781186548		3	7
5937	H				
16359	H	8.06225774829855			9
8366	C	1.4142135623731	2		8
1869	C	6.70820393249937		1	7
438	H	7.74596669241483		3	
14575	H	5.47722557505166	2		8
14576	H	5.24404424085076	6		8
14607	H	6.20483682299543	2		8
14664	H	3.16227766016838		3	8
12536	H	4.47213595499958	4		5
12540	H				
16504	H	6.70820393249937	3		4
7489	H	2.44948974278318		3	9
9668	C	5		3	7
40027	H				
10624	H	7.74596669241483	7		6
10905	C	1.73205080756888	6		8
12696	H	5.47722557505166	7		7
12734	H	4.69041575982343	1		8
12037	C	5.47722557505166	5		8
12090	C	1.4142135623731	5		7
12166	C	4.12310562561766		1	6
12184	H				
6146	C	3.87298334620742			8
