CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	DISPERSAL	LIGHT	LIGHT_TOLERANCE	SOIL	SOIL_TOLERANCE	GRAZ_MOW_TOLERANCE	PALATABILITY
493				unknown		4	1	4	1	2	
497			85	Herbaceous	2	4	1	3	1	2	
499			38	Herbaceous	7	4	1	3	1	2	
503				Herbaceous		3	2	3	1	2	
504			69	Herbaceous	7	4	1	3	1	2	
506			110	Herbaceous	3	4	1	3	1		
507			15	Herbaceous	6	4	1	3	1		
508			34	Herbaceous	6	4	1	3	1		
515	1.5		62.5	Herbaceous	3	4	1	4	1	2	
518			80	Herbaceous	3	4	1	3.5	1	2	
519			80	Herbaceous	3	3	2	3.5	1	2	
522				Herbaceous		4	1	4	1	4	
532				Herbaceous		3	2	2	1	1	
534				Herbaceous		3	1	2	1	1	
554				Herbaceous		3	1	3	1		
555				Herbaceous		4	1	3	1		
561	3	8	55	Herbaceous	7	3	1	3.5	1	3	4
563				Herbaceous		4	1	3	1	2	
564	1		30	Herbaceous	7	4	1	2	1	2	
571			50	Herbaceous	2	4	1	1.5	1		
572		3	94	Herbaceous	2	3	1	4	1		
579			40	Herbaceous	2	4	1	2	1		
584				Herbaceous		5	1	2	1		
586		7	23	Herbaceous	6	2	1	3	1		
589				Herbaceous		5	1	3	1		
590				Herbaceous		5	1	3	1		
601			20.5	Herbaceous	6	4	1	3	1		
603			15	Herbaceous	6	4	1	2.5	1		
605			18	Herbaceous	6	4	1	3	1		
606			16	Herbaceous	6	4	1	1.5	1		
609			50	Herbaceous	3	3	1	2	1	2	
617				unknown		4	1	2	1	2	
618	3			Herbaceous	2	4	1	2	1	2	
619			50	Herbaceous	2	4	1	2	1	2	
627			30	Herbaceous	2	4	1	1.5	1	2	
629		17		Herbaceous		4	1	2	1		
632				Herbaceous	2	5	1	2	1	2	
633				Herbaceous		4	1	2	1	2	
640			50	Herbaceous	2			2			
645			40	Herbaceous	2	5	1	2.5	1	2	
647			55	Herbaceous	5	4	1	2.5	1	3	
652			70	Herbaceous	2	3	1	3	1		
659	2		83	Herbaceous	1	3	1	3.5	1	2	
662				Herbaceous		3	1	4	1		
663			62.5	Herbaceous	2	3	1	4	1		
667			55	Herbaceous	2			1			
672			60	Herbaceous	7	3	1	3	1		
677				Herbaceous		4	1	4	1		
678			50	Herbaceous	6	4	1	4	1		
682				Herbaceous		4	2	4	1		
683			30	Herbaceous	6	4	2	4	1		
684				unknown	6			4			
691	0.5	5	60	Herbaceous	6	3	1	4	1		
692			36.75	Herbaceous	6	4	1	4	1		
694			23	Herbaceous	6	4	1	3	1		
701			12.5	Herbaceous	3	4	1	1.5	1		
703			70	Herbaceous	2	2	1	3	1		
704			26	Herbaceous	6	4	1	2.5	1		
708				Frutescent		5	1	2	1		
710		3	27.5	Suffrutescent	2	3	1	4	1		
711		2	31.5	Suffrutescent	3	2	1	3	1		
715		300	1150	Frutescent	6	2	1	2.5	1		
721		450	700	Frutescent	6	2	2	3	2		
723		450		unknown		2	2	3	2		
732		7	50	Herbaceous	2	3	2	4	1		
736		3	30	Herbaceous	2	3	2	3	1		
737				Herbaceous		3	2	4	1		
738			28.75	Herbaceous	1	4	2	2.5	1		
739			30	Herbaceous	2	4	2	4	1		
742				Herbaceous		4	2	3.5	1		
745				unknown	3			3			
747	1		8	Herbaceous		2	2	3	1		
754		4	100	Herbaceous	5	4	1	3	1	1	
761				unknown	5			2			
763	1	5	65	Herbaceous		3	1	2	1		
767			120	Herbaceous	3			2			
771			40	Herbaceous	2	4	1	2	1	2	
772		15	21	Herbaceous	1	5	1	2	1	2	
774			40	Herbaceous	2	4	1	3.5	1	2	
776			60	Herbaceous	2	3	1	4	2	3	
779		23		Herbaceous		5	1	2	1	2	
780				Herbaceous		5	1	2	1	2	
781			12.25	Herbaceous	1	5	1	1.5	1	2	
782				Herbaceous		5	1	1.5	1	2	
784				Herbaceous		4	1	3	1	2	
785		3	70	Herbaceous	2	3	1	4	1	2	
786	1	7	19	Herbaceous	7	4	1	3	2	3	4
788				Herbaceous		4	1	3	1	3	
789		7		unknown		4	1	3	2	3	
790				unknown							4
795			10	Herbaceous	1	5	1	2	1	2	
796	3	7	1.875	Herbaceous	1	5	1	1.5	1	1	4
797			45	Herbaceous	2	4	1	2	1	2	
799			30	Herbaceous	2	4	1	2	1	1	
801			50	Herbaceous	2	4	1	3	1	2	
802		1		Herbaceous		4	1	3	1	2	
809			25	Herbaceous	1	4	1	2	1	2	
810				Herbaceous		4	1	2	1	1	
828	1	1	80	Herbaceous	7	4	2	4	1		
834				Herbaceous		4	1	4	1		
839				unknown		4	1	2	1		
841			50	Herbaceous	6	4	1	3	1	1	
845		13	10	Herbaceous	4	4	1	2	1	3	
