CODE_CBNA	SPECIES	TYPE	PFG_ALL	PFG_DETERM	maturity	longevity	height	dispersal	dispersal_dist	palatability	light	SEED_MASS	LEAF_AREA	SLA	SLA_avg	LDMC	LDMC_avg	ELLTEMP	ELLMOIST	ELLPH	ELLNIT	ELLLITE	ELLLITE2	REPRO	FOLIAGE	DISP	FLORAISON	FRUIT	INFLO	MOWTOL	NUTR	ROOTDEPTH	WOODY	Chamaephyte	Geophyte	Helophyte	Hemicryptophyte	Hydrohemicryptophyte	Phanerophyte	Therophyte	decidous	evergreen	green.only.from.autumn.to.springtime	partly.wintergreen	pre.summergreen	wintergreen	without.green.leaves..full.parasites.or.saprophytes.	by.seed.and.vegetatively	by.seed.by.spore	mostly.by.seed.and.rarely.vegetatively	mostly.vegetatively.and.rarely.by.seed	vegetatively	bulb	fleshy.basal.leaves	hypocotyl.tuber	inconspicuous.reserve.organ	many.thick.non.lignified.roots	no.special.organ.to.store.energy	rhizome.tuber	rhizome.with.fleshy.organs	root.swelling	root.tuber	thick.lignified.main.roots	thick.rhizome	above.ground.runners	above.ground.shoots	basal.lateral.shoots	below.ground.runners	bulbils	bulbs	creeping.rhizome	creeping.shoots.or.espaliers	cushions	no.vegetative.dispersal.parts	root.shoots	tussocks..tufts
10118	Rumex_acetosella	C	C1	C1	1	4	4.47213595499958	6	403.428793492735	3	8	0.629541851851852	2.082	31.83	26.90625	NA	117.884	5	4	2	2	8	m	seed	nopers	animal	sp	Achene	solitary	2	Chlorophyllian	2.5	herb	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
8849	Stachys_recta	C	C1	C1	3	10	7.48331477354788	6	403.428793492735	3	8	1.5138	5.46455357142857	22.71088122	25.59294061	230.938711	223.5143555	NA	7	7	7	4	s	seed	nopers	wind	sp	Achene	spike	2	Chlorophyllian	4	herb	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
8863	Teucrium_chamaedrys	C	C1	C1	3	14	3.46410161513775	6	403.428793492735	3	7	1.19333333333333	1.37113269230769	15.784121556	14.734060778	311.114433083333	308.922216541667	6	2	8	1	7	m	seed	nopers	animal	sp	Achene	spike	2	Chlorophyllian	4	wood	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
8943	Thymus_praecox	C	C1	NA	3	NA	2.23606797749979	2	7.38905609893065	3	8	0.1902	0.1275	14.82	14.19	269.3	249.816666666667	6	3	8	1	8	m	seed	pers	animal	sp	Achene	solitary	2	Chlorophyllian	2	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
8948	Thymus_pulegioides	C	C1	C1	3	13	3.39116499156263	6	403.428793492735	3	7	0.157636666625	NA	27.69	21.995	NA	NA	NA	4	NA	1.5	8	m	seed	pers	animal	sp	Achene	NA	2	Chlorophyllian	2.5	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
13153	Valeriana_montana	C	C1	C1	3	10	5	3	20.0855369231877	3	6	1.244	NA	NA	NA	NA	NA	2	5	9	2	8	m	seed	nopers	wind	sp	Achene	cyme	0	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
846	Antennaria_dioica	C	C2	C2	3	4	3.74165738677394	5	148.413159102577	3	8	0.0697142857142857	0.3752941175	14.3	16.35	NA	249	NA	4.5	3.5	2	8	m	seed	pers	wind	sp	Achene	spike	4	Chlorophyllian	1.5	herb	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
975	Artemisia_umbelliformis subsp.eriantha	C	C2	C2	3	NA	3.60555127546399	1	2.71828182845905	3	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	m	NA	pers	animal	sp	Achene	NA	0	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
976	Artemisia_umbelliformis subsp.umbelliformis	C	C2	C2	3	9	3.60555127546399	1	2.71828182845905	3	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	m	seed	pers	animal	su	Achene	spike	0	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
4969	Cerastium_alpinum	C	C2	C2	3	7	2.91547594742265	1	2.71828182845905	3	7	0.278123333333333	0.41	31.95	31.95	200.94	200.94	1	4.33333333333333	6	2	9	i	seed	nopers	wind	su	Capsule	cyme	1	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4999	Cerastium_cerastoides	C	C2	C2	3	10	1.4142135623731	6	403.428793492735	3	8	0.163967346928571	0.144095860555556	24.39	24.39	231.535	231.535	1	8	4.33333333333333	6	8	m	seed	nopers	animal	su	Capsule	cyme	1	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5025	Cerastium_latifolium	C	C2	C2	3	NA	2.44948974278318	1	2.71828182845905	3	8	0.53375	NA	NA	NA	NA	NA	1	5	9	3	9	i	seed	nopers	wind	su	Capsule	cyme	0	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5029	Cerastium_pedunculatum	C	C2	C2	3	NA	2.64575131106459	6	403.428793492735	3	8	0.117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nopers	animal	su	Capsule	cyme	0	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5059	Cerastium_uniflorum	C	C2	C2	3	NA	1.73205080756888	4	54.5981500331442	3	8	0.25152	NA	31.65	27.625	NA	NA	1	5	NA	3	9	i	seed	nopers	wind	su	Capsule	cyme	0	Chlorophyllian	1	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16358	Helictotrichon_sedenense subsp.sedenense	C	C2	C2	3	NA	7.07106781186548	3	20.0855369231877	3	8	1.722222222	6	10.6	10.6	324.753978363636	324.753978363636	NA	NA	NA	NA	NA	NA	NA	nopers	wind	sp	Caryopsis	panicle	2	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
