numtaxon	libcbna	genre	stat.abund_max	stat.no_sites_abund_max	stat.no_sites_abund	stat.no_sites_abund_over25	stat.abund_median	stat.abund_mean	stat.no_sites_recorded	SELECTION
23	Acer pseudoplatanus L.	Acer	87.5	5	597	43	0.5	6.88274706867672	1143	all
190	Astrantia major L.									
294	Chaerophyllum hirsutum L.									
323	Daucus carota L. subsp. carota	Daucus	15	6	67	0	0.5	2.24626865671642	682	all
419	Heracleum sphondylium L.									
449	Laserpitium latifolium L.									
497	Oenanthe lachenalii C.C. Gmelin	Oenanthe	15	6	82	0	0.5	2.26219512195122	629	all
561	Pimpinella major (L.) Hudson									
711	Vinca minor L.	Vinca	87.5	5	53	25	15	31.9433962264151	206	all
715	Ilex aquifolium L.	Ilex	37.5	2	258	2	0.5	2.5562015503876	514	all
721	Hedera helix L.	Hedera	87.5	1	415	76	3	12.9771084337349	967	all
786	Achillea millefolium L.	Achillea	15	6	112	0	0.5	2.10267857142857	487	all
902	Arnica montana L.									
1269	Centaurea jacea L.	Centaurea	15	13	96	0	0.5	3.32291666666667	711	all
1357	Centaurea scabiosa L.	Centaurea	15	3	96	0	0.5	1.890625	515	all
1388	Centaurea uniflora Turra subsp. nervosa (Willd.) Bonnier & Layens									
1535	Cirsium palustre (L.) Scop.	Cirsium	37.5	1	264	1	0.5	1.32007575757576	795	all
1742	Eupatorium cannabinum L. subsp. cannabinum	Eupatorium	62.5	1	156	3	0.5	3.06730769230769	531	all
2144	Hieracium murorum L.	Hieracium	37.5	8	382	8	0.5	4.12303664921466	763	all
2393	Homogyne alpina (L.) Cass.									
2509	Leontodon hispidus L.	Leontodon	62.5	2	194	7	3	6.60051546391753	659	all
2548	Leucanthemum adustum (Koch) Gremli									
2740	Prenanthes purpurea L.	Prenanthes	87.5	1	446	13	3	4.87107623318386	914	all
2942	Serratula tinctoria L.									
2957	Solidago gigantea Aiton	Solidago	87.5	1	223	40	3	11.280269058296	654	all
3317	Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula									
3320	Alnus glutinosa (L.) Gaertn.	Alnus	87.5	18	175	68	3	25.9142857142857	480	all
3340	Betula pendula Roth	Betula	37.5	2	142	2	0.5	2.88380281690141	503	all
4565	Buxus sempervirens L.	Buxus	87.5	6	115	38	15	20.9695652173913	444	all
4691	Campanula rhomboidalis L.	Campanula	37.5	3	185	3	3	3.48378378378378	469	all
4692	Campanula rotundifolia L.	Campanula	37.5	1	94	1	0.5	1.9468085106383	533	all
4776	Phyteuma spicatum L.	Phyteuma	15	17	384	0	0.5	2.01432291666667	803	all
4837	Lonicera xylosteum L.	Lonicera	62.5	1	391	9	0.5	4.05242966751918	894	all
4847	Viburnum lantana L.	Viburnum	37.5	1	334	1	0.5	1.65718562874252	978	all
5090	Dianthus carthusianorum L.	Dianthus	3	6	26	0	0.5	1.07692307692308	580	all
5456	Silene nutans L. subsp. nutans	Silene	15	3	92	0	0.5	1.46195652173913	535	all
5924	Helianthemum nummularium (L.) Miller									
5990	Calystegia sepium (L.) R. Br. subsp. sepium	Calystegia	37.5	2	154	2	0.5	2.42532467532468	462	all
6075	Carpinus betulus L.	Carpinus	87.5	6	279	52	3	14.1594982078853	632	all
6077	Corylus avellana L.	Corylus	87.5	9	565	63	3	9.88761061946903	1246	all
6104	Sedum album L.	Sedum	37.5	2	68	2	0.5	3.60294117647059	484	all
6273	Knautia arvensis (L.) Coulter	Knautia	37.5	1	70	1	0.5	2.29285714285714	709	all
6333	Scabiosa columbaria L.	Scabiosa	15	3	99	0	0.5	1.44444444444444	562	all
6490	Vaccinium myrtillus L.	Vaccinium	87.5	15	352	85	3	17.21875	1025	all
6492	Vaccinium uliginosum L.									
6529	Euphorbia cyparissias L.	Euphorbia	37.5	3	201	3	0.5	3.32835820895522	994	all
6684	Anthyllis vulneraria L.	Anthyllis	15	19	188	0	3	2.97606382978723	1062	all
6989	Genista tinctoria L.	Genista	37.5	1	100	1	0.5	2.525	715	all
7033	Hippocrepis comosa L.	Hippocrepis	62.5	1	210	3	3	4.42142857142857	1079	all
7035	Hippocrepis emerus (L.) P. Lassen	Hippocrepis	62.5	1	197	4	0.5	3.67005076142132	668	all
7107	Lathyrus pratensis L.	Lathyrus	15	9	248	0	0.5	1.68145161290323	957	all
7147	Lotus corniculatus L.	Lotus	37.5	6	405	6	0.5	3.28271604938272	1843	all
7270	Medicago lupulina L.	Medicago	37.5	1	105	1	0.5	2.22380952380952	791	all
7378	Onobrychis montana DC.									
7387	Onobrychis viciifolia Scop.	Onobrychis	37.5	6	59	6	0.5	7.59322033898305	637	all
7551	Securigera varia (L.) P. Lassen	Securigera	37.5	1	45	1	0.5	4.13333333333333	463	all
7660	Trifolium montanum L.	Trifolium	15	12	96	0	0.5	2.91145833333333	725	all
7680	Trifolium pratense L.	Trifolium	62.5	2	326	15	3	5.76533742331288	1160	all
7696	Trifolium repens L.	Trifolium	37.5	5	119	5	3	5.61344537815126	613	all
7867	Vicia sepium L.	Vicia	15	12	173	0	3	2.58959537572254	499	all
7895	Fagus sylvatica L.	Fagus	87.5	64	988	258	3	19.3092105263158	1633	all
7916	Quercus petraea (Mattuschka) Liebl.	Quercus	87.5	4	232	53	3	15.4741379310345	478	all
7920	Quercus pubescens Willd. [1805]	Quercus	87.5	4	138	28	3	16.3405797101449	741	all
8059	Gentiana lutea L.	Gentiana	62.5	1	238	2	1.75	4.0609243697479	621	all
8207	Geranium robertianum L.	Geranium	37.5	2	200	2	0.5	3.145	745	all
8218	Geranium sylvaticum L.	Geranium	62.5	2	265	10	3	5.45471698113208	679	all
8238	Globularia bisnagarica L.	Globularia	15	8	114	0	0.5	2.19736842105263	599	all
8244	Globularia nudicaulis L.									
8331	Hypericum maculatum Crantz subsp. maculatum	Hypericum	87.5	1	170	7	3	5.57058823529412	506	all
8339	Hypericum perforatum L.	Hypericum	15	4	89	0	0.5	1.57303370786517	636	all
8351	Hypericum richeri Vill.									
8459	Ajuga reptans L.	Ajuga	15	7	237	0	0.5	1.39240506329114	777	all
8563	Lamium galeobdolon (L.) L. subsp. montanum (Pers.) Hayek	Lamium	62.5	3	270	7	3	4.83148148148148	537	all
8613	Mentha aquatica L. subsp. aquatica	Mentha	37.5	9	303	9	3	5.83168316831683	691	all
8697	Origanum vulgare L. subsp. vulgare	Origanum	37.5	2	100	2	0.5	3.175	935	all
8706	Prunella grandiflora (L.) Scholler	Prunella	37.5	1	117	1	3	4.82051282051282	465	all
8712	Prunella vulgaris L.	Prunella	37.5	1	142	1	0.5	2.44014084507042	507	all
8742	Salvia pratensis L.	Salvia	37.5	7	121	7	3	6.55371900826446	1299	all
8849	Stachys recta L.	Stachys	15	2	109	0	0.5	1.5	603	all
8863	Teucrium chamaedrys L.	Teucrium	62.5	1	230	8	3	5.62173913043478	1379	all
9042	Linum catharticum L.	Linum	3	55	177	0	0.5	1.27683615819209	668	all
9089	Lythrum salicaria L.	Lythrum	37.5	2	306	2	0.5	2.24346405228758	692	all
9271	Epilobium angustifolium L.									
9369	Fraxinus excelsior L.	Fraxinus	87.5	11	855	114	3	10.5771929824561	2026	all
9387	Ligustrum vulgare L.	Ligustrum	62.5	1	282	7	0.5	3.6968085106383	1091	all
9402	Oxalis acetosella L.	Oxalis	62.5	3	260	9	3	7.72307692307692	578	all
9655	Plantago lanceolata L.	Plantago	37.5	1	195	1	0.5	2.55128205128205	807	all
9670	Plantago media L.	Plantago	15	7	114	0	0.5	2.07017543859649	491	all
9982	Polygala vulgaris L.	Polygala	37.5	1	91	1	0.5	1.74725274725275	548	all
10106	Polygonum viviparum L.									
10113	Rumex acetosa L.	Rumex	15	4	158	0	0.5	1.24683544303797	770	all
10182	Rumex pseudalpinus H̦fft									
10328	Lysimachia vulgaris L.	Lysimachia	62.5	2	416	14	1.75	4.70432692307692	958	all
10502	Caltha palustris L.	Caltha	87.5	1	166	8	3	6.49096385542169	605	all
10512	Clematis vitalba L.	Clematis	15	3	85	0	0.5	1.39411764705882	548	all
10646	Ranunculus bulbosus L.	Ranunculus	37.5	1	89	1	0.5	2.39887640449438	804	all
10799	Ranunculus tuberosus Lapeyr.	Ranunculus	15	14	196	0	3	2.74744897959184	511	all
