"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"16860",62.5,5,187,32,3,12.283422459893,457,"all"
"17158",15,4,159,0,0.5,1.71383647798742,299,"all"
"17297",15,10,85,0,0.5,2.76470588235294,380,"all"
"17343",87.5,10,515,96,3,13.6223300970874,724,"all"
"17363",87.5,24,640,118,3,14.3234375,1040,"all"
"17396",62.5,1,64,11,0.5,9.2265625,237,"all"
"17408",37.5,2,42,2,0.5,4.23809523809524,193,"all"
"1742",37.5,1,82,1,0.5,2.86585365853659,285,"all"
"17552",37.5,3,83,3,0.5,4.54216867469879,198,"all"
"17589",37.5,12,266,12,3,6.22368421052632,556,"all"
"17626",37.5,1,101,1,3,2.62871287128713,217,"all"
"17641",37.5,1,42,1,0.5,2.20238095238095,214,"all"
"17650",62.5,1,66,2,0.5,3.47727272727273,194,"all"
"17798",87.5,3,184,30,3,11.7907608695652,418,"all"
"190",62.5,1,156,4,3,6.54166666666667,264,"all"
"2144",37.5,6,293,6,3,4.44027303754266,489,"all"
"23",87.5,5,453,40,3,8.11699779249448,741,"all"
"233",15,7,35,0,0.5,3.9,230,"all"
"2509",62.5,1,136,6,3,7.5625,356,"all"
"2740",62.5,3,322,8,3,5.33850931677019,537,"all"
"2902",3,4,7,0,3,1.92857142857143,307,"all"
"294",62.5,4,132,18,3,11.1856060606061,265,"all"
"2957",87.5,1,105,17,3,11.3047619047619,335,"all"
"2974",15,6,154,0,0.5,2.08766233766234,247,"all"
"323",15,3,31,0,0.5,2.54838709677419,342,"all"
"3233",3,20,58,0,0.5,1.36206896551724,260,"all"
"3320",87.5,10,71,32,15,31.2746478873239,246,"all"
"3340",37.5,1,92,1,0.5,3.05978260869565,293,"all"
"40190",15,3,104,0,1.75,2.09615384615385,216,"all"
"40191",0.5,10,10,0,0.5,0.5,193,"all"
"40355",0.5,9,9,0,0.5,0.5,191,"all"
"40413",0.5,2,2,0,0.5,0.5,366,"all"
"40444",15,3,104,0,0.5,1.97596153846154,242,"all"
"40496",37.5,1,181,1,0.5,2.8121546961326,414,"all"
"40514",87.5,1,130,41,15,18.7,314,"all"
"40551",15,7,61,0,0.5,2.69672131147541,210,"all"
"40587",15,9,57,0,3,3.75438596491228,198,"all"
"40623",87.5,6,233,38,3,12.6802575107296,273,"all"
"40763",62.5,1,47,1,0.5,4.46808510638298,236,"all"
"41178",15,6,32,0,0.5,3.609375,357,"all"
"41214",62.5,5,214,10,0.5,5.72429906542056,794,"all"
"41290",62.5,3,204,9,3,6.42647058823529,407,"all"
"41294",15,1,98,0,0.5,1.51530612244898,258,"all"
"419",37.5,8,116,8,3,6.06465517241379,222,"all"
"449",62.5,1,140,11,3,7.01785714285714,314,"all"
"4565",87.5,5,67,23,15,23.6194029850746,256,"all"
"457",62.5,8,83,22,3,14.6024096385542,214,"all"
"4691",37.5,2,153,2,3,3.51633986928105,307,"all"
"4692",37.5,1,59,1,0.5,2.47457627118644,267,"all"
"4759",15,4,109,0,3,2.43119266055046,193,"all"
"4776",15,13,294,0,0.5,2.23809523809524,529,"all"
"4824",37.5,1,124,1,0.5,2.8508064516129,229,"all"
"4832",37.5,6,113,6,3,5.4646017699115,198,"all"
"4837",62.5,1,279,5,0.5,4.43189964157706,534,"all"
"4847",37.5,1,223,1,0.5,1.81838565022422,609,"all"
"4849",15,3,121,0,0.5,1.45867768595041,264,"all"
"5090",3,2,11,0,0.5,0.954545454545455,310,"all"
"5456",3,17,52,0,0.5,1.31730769230769,264,"all"
"5504",15,3,99,0,3,2.2020202020202,217,"all"
"564",15,1,26,0,1.75,2.21153846153846,227,"all"
"5924",37.5,7,158,7,3,7.63607594936709,259,"all"
"5990",37.5,2,76,2,0.5,2.63815789473684,241,"all"
"6075",87.5,4,182,36,3,15.456043956044,373,"all"
"6077",87.5,3,372,37,3,9.3239247311828,728,"all"
"6104",37.5,1,32,1,3,3.65625,221,"all"
"6273",37.5,1,31,1,0.5,2.80645161290323,377,"all"
"6285",37.5,3,172,3,3,4.45639534883721,274,"all"
"6333",15,2,46,0,0.5,1.6195652173913,293,"all"
"6375",15,2,59,0,0.5,1.54237288135593,248,"all"
"6490",87.5,12,214,46,3,16.4906542056075,469,"all"
"6529",15,14,124,0,3,3.26612903225806,457,"all"
"6653",62.5,2,151,11,3,8.99668874172185,275,"all"
"6684",15,15,133,0,3,3.45112781954887,598,"all"
"6989",15,4,54,0,0.5,1.85185185185185,377,"all"
"7033",62.5,1,136,2,3,4.78308823529412,577,"all"
"7035",62.5,1,136,3,0.5,4.13602941176471,399,"all"
"7043",37.5,2,41,2,0.5,3.4390243902439,203,"all"
"7107",15,8,180,0,0.5,1.86666666666667,603,"all"
"7128",15,8,206,0,0.5,2.09466019417476,335,"all"
"7147",37.5,6,245,6,3,3.86938775510204,1010,"all"
"715",37.5,2,188,2,0.5,3.03723404255319,344,"all"
"7175",15,3,27,0,0.5,2.85185185185185,210,"all"
"721",87.5,1,277,53,3,13.4512635379061,550,"all"
"7270",15,5,58,0,0.5,2.13793103448276,441,"all"
"7387",37.5,1,23,1,0.5,3.17391304347826,338,"all"
"7534",37.5,2,20,2,1.75,7,209,"all"
"7551",15,1,15,0,0.5,2.46666666666667,219,"all"
"7651",37.5,2,66,2,3,8.06818181818182,200,"all"
"7660",15,5,49,0,0.5,2.59183673469388,394,"all"
"7680",62.5,1,213,10,3,6.55164319248826,629,"all"
"7696",37.5,3,72,3,3,5.45833333333333,318,"all"
"7709",15,7,55,0,0.5,3.25454545454545,210,"all"
"786",15,3,65,0,0.5,2.16923076923077,230,"all"
"7867",15,11,143,0,3,2.85664335664336,326,"all"
"7892",87.5,2,122,22,3,13.4180327868852,231,"all"
"7895",87.5,50,814,212,15,19.3482800982801,1166,"all"
"7916",87.5,4,165,43,15,18.1424242424242,302,"all"
"7920",87.5,3,94,19,3,16.7765957446809,395,"all"
"7947",3,4,30,0,0.5,0.833333333333333,240,"all"
"8059",62.5,1,199,2,3,4.39195979899498,435,"all"
"8207",37.5,1,127,1,3,3.7244094488189,386,"all"
"8214",15,5,46,0,0.5,2.89130434782609,219,"all"
"8218",62.5,2,204,8,3,5.8921568627451,420,"all"
"8238",15,2,50,0,0.5,1.63,278,"all"
"8239",37.5,4,56,4,3,6.10714285714286,226,"all"
"8331",62.5,1,121,3,3,4.65702479338843,245,"all"
"8339",15,3,38,0,0.5,2.5,368,"all"
"8459",15,5,148,0,0.5,1.49662162162162,417,"all"
"8501",15,2,38,0,3,2.44736842105263,193,"all"
"8563",62.5,2,194,6,3,5.47938144329897,355,"all"
"8611",37.5,1,89,1,0.5,1.92134831460674,211,"all"
"8613",37.5,1,151,1,3,3.48344370860927,365,"all"
"8697",15,6,65,0,0.5,2.68461538461538,553,"all"
"8706",37.5,1,103,1,3,5.21844660194175,297,"all"
"8712",15,5,74,0,0.5,2.45945945945946,265,"all"
