code_cbna	libelle
2929	Senecio vulgaris L. subsp. vulgaris
2942	Serratula tinctoria L.
2954	Solidago canadensis L.
2957	Solidago gigantea Aiton
2974	Solidago virgaurea L. subsp. virgaurea
2993	Sonchus palustris L.
3027	Tanacetum vulgare L.
3215	Tragopogon dubius Scop.
3233	Tragopogon pratensis L.
3244	Tussilago farfara L.
3317	Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula
3446	Echium vulgare L.
3475	Lithospermum officinale L.
3495	Myosotis arvensis Hill
3525	Myosotis laxa Lehm. subsp. cespitosa (C.F. Schultz) Hyl. ex Nordh.
3530	Myosotis nemorosa Besser
3546	Myosotis scorpioides L.
3641	Symphytum officinale L.
3707	Arabidopsis thaliana (L.) Heynh.
3727	Arabis ciliata Clairv.
3781	Barbarea vulgaris R. Br.
3917	Capsella bursa-pastoris (L.) Medik.
3964	Cardaria draba (L.) Desv.
4011	Coronopus squamatus (Forsskål) Ascherson
4142	Hesperis matronalis L.
4271	Lepidium ruderale L.
4399	Rorippa palustris (L.) Besser
4461	Sisymbrium officinale (L.) Scop.
4509	Thlaspi arvense L.
4630	Campanula barbata L.
4651	Campanula glomerata L.
4676	Campanula patula L.
4680	Campanula persicifolia L.
4692	Campanula rotundifolia L.
4700	Campanula scheuchzeri Vill. subsp. scheuchzeri
4709	Campanula trachelium L.
4758	Phyteuma nigrum F.W. Schmidt
4759	Phyteuma orbiculare L.
4776	Phyteuma spicatum L.
4838	Sambucus ebulus L.
4839	Sambucus nigra L.
4977	Cerastium arvense L.
5012	Cerastium fontanum Baumg. subsp. vulgare (Hartm.) Greuter & Burdet
5090	Dianthus carthusianorum L.
5163	Dianthus superbus L.
5263	Minuartia sedoides (L.) Hiern
5295	Myosoton aquaticum (L.) Moench
5336	Sagina procumbens L.
5399	Silene dioica (L.) Clairv.
5456	Silene nutans L. subsp. nutans
5514	Silene vulgaris (Moench) Garcke subsp. vulgaris
5554	Spergularia rubra (L.) J. & C. Presl
5564	Stellaria alsine Grimm
5571	Stellaria graminea L.
5573	Stellaria media (L.) Vill.
5580	Stellaria nemorum L.
5585	Stellaria palustris Retz.
5687	Chenopodium bonus-henricus L.
5924	Helianthemum nummularium (L.) Miller
5990	Calystegia sepium (L.) R. Br. subsp. sepium
5997	Convolvulus arvensis L.
6073	Cornus sanguinea L.
6077	Corylus avellana L.
6101	Sedum acre L.
6104	Sedum album L.
6273	Knautia arvensis (L.) Coulter
6333	Scabiosa columbaria L.
6349	Scabiosa lucida Vill.
6375	Succisa pratensis Moench
6427	Calluna vulgaris (L.) Hull
6490	Vaccinium myrtillus L.
6684	Anthyllis vulneraria L.
6736	Astragalus danicus Retz.
6744	Astragalus frigidus (L.) A. Gray
6747	Astragalus glycyphyllos L.
6887	Cytisus scoparius (L.) Link subsp. scoparius
6932	Genista anglica L.
6950	Genista germanica L.
6966	Genista pilosa L.
6979	Genista sagittalis L.
6989	Genista tinctoria L.
7033	Hippocrepis comosa L.
7107	Lathyrus pratensis L.
7147	Lotus corniculatus L.
7181	Lotus pedunculatus Cav.
7236	Medicago falcata L.
7270	Medicago lupulina L.
7348	Melilotus altissimus Thuill.
7387	Onobrychis viciifolia Scop.
7431	Ononis spinosa L.
7579	Trifolium alpestre L.
7586	Trifolium arvense L.
7589	Trifolium aureum Pollich
7590	Trifolium badium Schreber
7599	Trifolium campestre Schreber
7609	Trifolium dubium Sm.
