code_cbna	libelle
847	Anthemis altissima L. emend Sprengel, 1826
848	Anthemis arvensis L.
849	Anthemis arvensis L. subsp. incrassata (Loisel.) Nyman
853	Anthemis carpatica Willd.
858	Anthemis cotula L.
861	Anthemis cretica L. subsp. columnae (Ten.) R. FranzÚn
865	Anthemis gerardiana Jordan
887	Anthemis triumfetti (L.) DC.
889	Aposeris foetida (L.) Less.
891	Arctium lappa L.
893	Arctium minus (J. Hill) Bernh.
895	Arctium nemorosum Lej.
897	Arctium pubens Bab.
898	Arctium tomentosum Miller
906	Arnoseris minima (L.) Schweigger & Koerte
911	Artemisia abrotanum L.
912	Artemisia absinthium L.
913	Artemisia alba Turra
917	Artemisia annua L.
920	Artemisia atrata Lam.
923	Artemisia biennis Willd.
932	Artemisia campestris L. subsp. alpina (DC.) Arcangeli
933	Artemisia campestris L. subsp. borealis (Pallas) H.M. Hall & Clements
934	Artemisia campestris L.
944	Artemisia dracunculus L.
945	Artemisia eriantha Ten. (b.)
948	Artemisia genipi Weber
950	Artemisia glacialis L.
955	Artemisia insipida Vill.
968	Artemisia pontica L.
974	Artemisia umbelliformis Lam.
977	Artemisia vallesiaca All.
978	Artemisia verlotiorum Lamotte
984	Aster alpinus L.
989	Aster bellidiastrum (L.) Scop.
994	Aster laevis L.
1001	Aster linosyris (L.) Bernh. subsp. linosyris
1002	Aster novae-angliae L.
1011	Aster sedifolius L. subsp. sedifolius
1013	Aster squamatus (Sprengel) Hieron.
1019	Aster x-salignus Willd.
1043	Bellis annua L.
1050	Bellis sylvestris Cyr.
1056	Berardia subacaulis Vill.
1057	Bidens aurea (Aiton) Sherff
1058	Bidens bipinnata L.
1060	Bidens cernua L.
1062	Bidens connata Willd.
1063	Bidens frondosa L.
1066	Bidens radiata Thuill.
1067	Bidens subalternans DC.
1068	Bidens tripartita L.
1071	Bombycilaena discolor (Pers.) Laínz
1072	Bombycilaena erecta (L.) Smolj.
1081	Cacalia alliariae Gouan subsp. alliariae
1085	Cacalia alpina L.
1087	Cacalia leucophylla Willd.
1089	Calendula arvensis L.
1093	Calendula officinalis L.
1098	Callistephus chinensis (L.) Nees
1102	Carduncellus monspelliensium All.
1112	Carduus aurosicus Chaix
1128	Carduus defloratus L. subsp. carlinifolius (Lam.) Cesati
1140	Carduus litigiosus Nocca & Balbis
1151	Carduus nigrescens Vill. subsp. nigrescens
1153	Carduus nigrescens Vill. subsp. vivariensis (Jordan) Bonnier & Layens
1154	Carduus nutans L.
1156	Carduus nutans L. subsp. alpicola (Gillot) Chassagne & J. ArÞnes
1161	Carduus nutans L. subsp. platylepis (Reichenb. & Sauter) Nyman
1165	Carduus pycnocephalus L.
1173	Carduus tenuiflorus Curtis
1181	Carlina acanthifolia All. subsp. acanthifolia
1185	Carlina acaulis L. subsp. caulescens (Lam.) Sch³bl. & Martens
1191	Carlina lanata L.
1199	Carlina vulgaris L. subsp. longifolia Nyman
1201	Carpesium cernuum L.
1204	Carthamus lanatus L.
1207	Catananche caerulea L.
1212	Centaurea alpestris Hegetschw.
1221	Centaurea aspera L.
1226	Centaurea balbisiana Soldano subsp. aemilii (Briq.) KerguÚlen
1233	Centaurea calcitrapa L.
1241	Centaurea collina L.
1246	Centaurea cyanus L.
1255	Centaurea diffusa Lam.
1276	Centaurea leucophaea Jordan
1313	Centaurea paniculata L.
1331	Centaurea pectinata L.
1368	Centaurea solstitialis L.
1373	Centaurea stoebe L. [1753]
1376	Centaurea thuillieri J. Duvigneaud & J. Lambinon
1377	Centaurea timbalii Martrin-Donos
1379	Centaurea triumfetti All.
1382	Centaurea triumfetti All. subsp. semidecurrens (Jordan) Dostál
1384	Centaurea triumfetti All. subsp. triumfetti
1386	Centaurea uniflora Turra
1387	Centaurea uniflora Turra subsp. ferdinandii (Gren.) Bonnier
1388	Centaurea uniflora Turra subsp. nervosa (Willd.) Bonnier & Layens
1389	Centaurea uniflora Turra subsp. uniflora
1391	Centaurea vallesiaca (DC.) Jordan
1450	Chrysanthemum segetum L.
1455	Cicerbita alpina (L.) Wallr.
1456	Cicerbita macrophylla (Willd.) Wallr.
1459	Cicerbita plumieri (L.) Kirschleger
1462	Cichorium endivia L.
1496	Cirsium carniolicum Scop.
1497	Cirsium carniolicum Scop. subsp. rufescens (Ramond ex DC.) P. Fourn.
1514	Cirsium erisithales (Jacq.) Scop.
1516	Cirsium ferox (L.) DC.
1523	Cirsium heterophyllum (L.) Hill
1527	Cirsium monspessulanum (L.) Hill
1531	Cirsium montanum (Waldst. & Kit. ex Willd.) Sprengel
1532	Cirsium morisianum Reichenb. fil.
1544	Cirsium spinosissimum (L.) Scop.
1555	Cnicus benedictus L.
1563	Coleostephus myconis (L.) Reichenb. fil.
1567	Conyza bonariensis (L.) Cronq.
1574	Conyza sumatrensis (Retz.) E. Walker
1581	Coreopsis lanceolata L.
1582	Coreopsis tinctoria Nutt.
1583	Cosmos bipinnatus Cav.
1589	Crepis albida Vill.
1597	Crepis bocconi P.D. Sell
1602	Crepis conyzifolia (Gouan) A. Kerner
1604	Crepis foetida L.
1606	Crepis foetida L. subsp. rhoeadifolia (M. Bieb.) Celak.
1610	Crepis leontodontoides All.
1614	Crepis nicaeensis Balbis
1619	Crepis praemorsa (L.) F.L. Walther
1620	Crepis pulchra L.
1622	Crepis pyrenaica (L.) W. Greuter
1623	Crepis rhaetica Hegetschw.
1626	Crepis sancta (L.) Bornm.
1627	Crepis sancta (L.) Bornm. subsp. nemausensis (Gouan) Babc.
1629	Crepis setosa Haller fil.
1634	Crepis tectorum L.
1638	Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Schinz & R. Keller
1643	Crepis zacintha (L.) Babcock
1647	Crupina vulgaris Cass.
1651	Cyclachaena xanthiifolia (Nutt.) Fresen.
1652	Cynara cardunculus L.
1654	Cynara scolymus L.
1656	Dahlia pinnata Cav.
1668	Dittrichia graveolens (L.) W. Greuter
1669	Dittrichia viscosa (L.) W. Greuter
1671	Doronicum austriacum Jacq.
1680	Doronicum grandiflorum Lam.
1684	Doronicum pardalianches L.
1685	Doronicum plantagineum L.
1690	Doronicum willdenowii (Rouy) A.W. Hill
1691	Echinops exaltatus Schrader
1692	Echinops ritro L.
1693	Echinops sphaerocephalus L.
1695	Erigeron acer L.
1699	Erigeron alpinus L.
1711	Erigeron atticus Vill.
1719	Erigeron gaudinii Br³gger
1720	Erigeron glabratus Bluff & Fingerh.
1726	Erigeron neglectus A. Kerner
1735	Erigeron uniflorus L.
1742	Eupatorium cannabinum L. subsp. cannabinum
1766	Filago lutescens Jordan
1773	Filago pyramidata L.
1775	Filago vulgaris Lam.
1782	Galinsoga parviflora Cav.
1783	Galinsoga quadriradiata Ruiz & Pavon
1793	Geropogon hybridus (L.) Schultz Bip.
1824	Guizotia abyssinica (L. fil.) Cass.
1830	Hedypnois rhagadioloides (L.) F.W. Schmidt
1831	Helenium autumnale L.
1832	Helianthus annuus L.
1850	Helichrysum stoechas (L.) Moench
2017	Hieracium farinulentum Jordan gr. pictum
2035	Hieracium glaciale Reyn.
2039	Hieracium glanduliferum Hoppe gr. piliferum
2040	Hieracium glaucinum Jordan gr.
2105	Hieracium lawsonii Vill. gr.
2117	Hieracium longifolium Schleicher ex Froelich
2306	Hieracium subnivale Gren. & Godron gr. piliferum
2323	Hieracium tenuiflorum Arvet-Touvet ex C. Bicknell gr.
2327	Hieracium tomentosum L. [1755]
2349	Hieracium vogesiacum (Kirschl.) Fries
2393	Homogyne alpina (L.) Cass.
2402	Hypochaeris achyrophorus L.
2406	Hypochaeris glabra L.
2415	Hypochaeris uniflora Vill.
2418	Inula britannica L.
2428	Inula helenium L.
2429	Inula helvetica Weber
2431	Inula montana L.
2440	Inula spiraeifolia L.
2463	Lactuca perennis L.
2465	Lactuca quercina L.
2469	Lactuca saligna L.
2470	Lactuca sativa L.
2474	Lactuca serriola L.
2475	Lactuca tenerrima Pourret
2477	Lactuca viminea (L.) J. & C. Presl subsp. chondrilliflora (Boreau) Bonnier
2478	Lactuca viminea (L.) J. & C. Presl subsp. ramosissima (All.) Arcangeli
2480	Lactuca virosa L.
2491	Lapsana communis L.
2492	Lapsana communis L. subsp. communis
2493	Lapsana communis L. subsp. intermedia (M. Bieb.) Hayek
2504	Leontodon crispus Vill.
2508	Leontodon hirtus L.
2518	Leontodon hyoseroides Welw. ex Reichenb.
2522	Leontodon montanus Lam.
2527	Leontodon pyrenaicus Gouan subsp. helveticus (MÚrat) Finch & P.D. Sell
2539	Leontodon tuberosus L.
2541	Leontopodium alpinum Cass.
2542	Leucanthemella serotina (L.) Tzvelev
2543	Leucanthemopsis alpina (L.) Heywood
2546	Leucanthemopsis minima (Vill.) Marchi in Pignatti
2548	Leucanthemum adustum (Koch) Gremli
2552	Leucanthemum atratum (Jacq.) DC. subsp. coronopifolium (Vill.) Horvatic
2553	Leucanthemum burnatii Briq. & Cavillier
2565	Leucanthemum gaudinii Dalla-Torre & Sarnth.
2570	Leucanthemum ircutianum DC.
2576	Leucanthemum maximum (Ramond) DC.
2590	Leucanthemum subglaucum De Laramb.
2592	Leucanthemum virgatum (Desr.) Clos
2611	Logfia arvensis (L.) J. Holub
2612	Logfia gallica (L.) Cosson & Germ.
2613	Logfia minima (Sm.) Dumort.
2626	Matricaria perforata MÚrat
2627	Matricaria recutita L.
2638	Mycelis muralis (L.) Dumort.
2646	Omalotheca hoppeana (Koch) Schultz Bip. & F.W. Schulz
2647	Omalotheca norvegica (Gunn.) Schultz Bip. & F.W. Schul
2648	Omalotheca supina (L.) DC.
2649	Omalotheca sylvatica (L.) Schultz Bip. & F.W. Schultz
2651	Onopordum acanthium L.
2665	Onopordum illyricum L.
2685	Petasites albus (L.) Gaertner
2692	Petasites paradoxus (Retz.) Baumg.
2701	Phagnalon rupestre (L.) DC. subsp. annoticum (Jordan ex Burnat) Pignatti
2705	Phagnalon saxatile (L.) Cass.
2706	Phagnalon sordidum (L.) Reichenb.
2714	Picnomon acarna (L.) Cass.
2716	Picris altissima Delile
2717	Picris echioides L.
2723	Picris hieracioides L. subsp. spinulosa (Bertol. ex Guss.) Arcangeli
2724	Picris hieracioides L. subsp. villarsii (Jordan) Nyman
2725	Picris pauciflora Willd.
2740	Prenanthes purpurea L.
2743	Pseudognaphalium luteo-album (L.) Hilliard & Burtt
2750	Pulicaria odora (L.) Reichenb.
2751	Pulicaria sicula (L.) Moris
2752	Pulicaria vulgaris Gaertn.
2755	Reichardia picroides (L.) Roth
2756	Rhagadiolus edulis Gaertner
2757	Rhagadiolus stellatus (L.) Gaertner
2768	Rudbeckia hirta L.
2769	Rudbeckia laciniata L.
2770	Santolina chamaecyparissus L.
2783	Saussurea alpina (L.) DC.
2784	Saussurea alpina (L.) DC. subsp. alpina
2785	Saussurea alpina (L.) DC. subsp. depressa (Gren.) Gremli
2787	Saussurea discolor (Willd.) DC.
2789	Scolymus hispanicus L.
2793	Scorzonera austriaca Willd.
2801	Scorzonera hirsuta L.
2802	Scorzonera hispanica L.
2807	Scorzonera laciniata L.
2813	Senecio adonidifolius Loisel.
2816	Senecio alpinus (L.) Scop.
2817	Senecio angulatus L. fil.
2818	Senecio aquaticus Hill
2827	Senecio cacaliaster Lam.
2835	Senecio cineraria DC. subsp. cineraria
2843	Senecio doronicum (L.) L.
2847	Senecio erucifolius L.
2852	Senecio gallicus Chaix
2856	Senecio halleri Dandy
2865	Senecio hercynicus J. Herborg
2866	Senecio inaequidens DC.
2867	Senecio incanus L.
2870	Senecio jacobaea L.
2898	Senecio ovatus (G. Gaertner, B. Meyer & Scherb.) Will subsp. alpestris (Gaudin) J. Herborg
2902	Senecio paludosus L.
2904	Senecio persoonii De Not.
2905	Senecio provincialis (L.) Druce
2912	Senecio rupestris Waldst. & Kit.
2918	Senecio squalidus L.
2919	Senecio sylvaticus L.
2925	Senecio viscosus L.
2938	Serratula lycopifolia (Vill.) A. Kerner
2940	Serratula nudicaulis (L.) DC.
2950	Silybum marianum (L.) Gaertner
2961	Solidago graminifolia (L.) Salisb.
2967	Solidago virgaurea L.
2969	Solidago virgaurea L. subsp. alpestris (Waldst. & Kit. ex Walld.) Gremli
2973	Solidago virgaurea L. subsp. rupicola (Rouy) Lambinon
2979	Sonchus arvensis L.
2983	Sonchus asper (L.) Hill
2985	Sonchus asper (L.) Hill subsp. glaucescens (Jordan) Ball
2992	Sonchus oleraceus L.
2995	Sonchus tenerrimus L.
3006	Staehelina dubia L.
3010	Stemmacantha heleniifolia (Godron & Gren.) Dittr. subsp. heleniifolia
3012	Stemmacantha rhapontica (L.) Dittr. subsp. lamarckii Dittr.
3017	Tagetes patula L.
3022	Tanacetum cinerariifolium (Trev.) Schultz Bip.
3023	Tanacetum corymbosum (L.) Schultz Bip.
3025	Tanacetum parthenium (L.) Schultz Bip.
3036	Taraxacum aquilonare Hand.-Mazz. gr. hoppeanum
3064	Taraxacum cucullatum Dahlst. gr.
3100	Taraxacum leucospermum Jordan gr. obovatum
3115	Taraxacum obovatum (Willd.) DC. aggr.
3116	Taraxacum officinale Weber
3126	Taraxacum pacheri gr.
3157	Taraxacum schroeterianum Hand.-Mazz.
3177	Telekia speciosa (Schreber) Baumg.
3178	Tephroseris balbisiana (DC.) Holub
3179	Tephroseris helenitis (L.) B. Nordenstam
3182	Tephroseris helenitis (L.) B. Nordenstam subsp. helenitis
3187	Tephroseris integrifolia (L.) Holub subsp. capitata (Wahlenb.) B. Nordenstam
3188	Tephroseris integrifolia (L.) Holub subsp. integrifolia
3191	Tephroseris longifolia (Jacq.) Griseb. & Schenk subsp. gaudinii (Gremli) KerguÚlen
3196	Tephroseris palustris (L.) Fourr.
3208	Tolpis barbata (L.) Gaertner
3209	Tolpis staticifolia (All.) Schultz Bip.
3211	Tragopogon angustifolius Willd.
3213	Tragopogon crocifolius L.
3228	Tragopogon porrifolius L.
3235	Tragopogon pratensis L. subsp. orientalis (L.) Celak.
3236	Tragopogon pratensis L. subsp. pratensis
3252	Urospermum dalechampii (L.) Scop. ex F.W. Schmidt
3253	Urospermum picroides (L.) Scop. ex F.W. Schmidt
3265	Xanthium italicum Moretti
3270	Xanthium orientale L.
3276	Xanthium spinosum L.
3277	Xanthium strumarium L.
3282	Xeranthemum cylindraceum Sibth. & Sm.
3285	Xeranthemum inapertum (L.) Moench
3288	Zinnia elegans Jacq.
3292	Aucuba japonica Thunb.
3294	Impatiens balfouri Hooker fil.
3298	Impatiens glandulifera Royle
3299	Impatiens noli-tangere L.
3300	Impatiens parviflora DC.
3310	Berberis vulgaris L.
3313	Epimedium alpinum L.
3314	Mahonia aquifolium (Pursh) Nutt.
3319	Alnus cordata (Loisel.) Duby
3320	Alnus glutinosa (L.) Gaertn.
3321	Alnus incana (L.) Moench
3326	Betula alba L. subsp. alba
3340	Betula pendula Roth
3348	Catalpa bignonioides Walt.
3360	Anchusa arvensis (L.) M. Bieb.
3365	Anchusa italica Retz.
3366	Anchusa ochroleuca M. Bieb.
3367	Anchusa officinalis L.
3371	Anchusa undulata L.
3372	Anchusa undulata L. subsp. hybrida (Ten.) Coutinho
3374	Asperugo procumbens L.
3376	Borago officinalis L.
3392	Cerinthe glabra Miller subsp. glabra
3397	Cerinthe major L.
3401	Cerinthe minor L. subsp. auriculata (Ten.) Rouy
3406	Cynoglossum creticum Miller
3407	Cynoglossum dioscoridis Vill.
3408	Cynoglossum germanicum Jacq.
3414	Cynoglossum officinale L.
3430	Echium italicum L.
3443	Echium plantagineum L.
3453	Heliotropium europaeum L.
3457	Lappula deflexa (Lehm.) Cesati
3460	Lappula squarrosa (Retz.) Dumort.
3462	Lithodora fruticosa (L.) Griseb.
3466	Lithospermum arvense L.
3477	Lithospermum permixtum Jordan in F.W. Schultz
3479	Lithospermum purpureocaeruleum L.
3490	Myosotis alpestris F.W. Schmidt
3508	Myosotis decumbens Host
3512	Myosotis discolor Pers.
3529	Myosotis minutiflora Boiss. & Reut.
3543	Myosotis ramosissima Rochel subsp. ramosissima
3552	Myosotis secunda A. Murray
3555	Myosotis speluncicola (Boiss.) Rouy
3558	Myosotis stricta Link ex Roemer & Schultes
3559	Myosotis sylvatica Hoffm.
3574	Omphalodes linifolia (L.) Moench
3576	Omphalodes verna Moench
3581	Onosma arenaria Waldst. & Kit. subsp. vaudensis (Gremli) KerguÚlen
3588	Onosma fastigiata (Br.-Bl.) Lacaita subsp. fastigiata
3591	Onosma pseudoarenaria Schur
3598	Pardoglossum cheirifolium (L.) Barbier & Mathez
3604	Pulmonaria angustifolia L.
3619	Pulmonaria montana Lej.
3623	Pulmonaria obscura Dumort.
3624	Pulmonaria officinalis L.
3629	Pulmonaria saccharata Miller
3636	Symphytum asperum Lepechin
3637	Symphytum bulbosum C. Schimper
3645	Symphytum tuberosum L.
3649	Trachystemon orientalis (L.) G. Don fil.
3657	Aethionema saxatile (L.) R. Br. subsp. saxatile
3661	Aethionema thomasianum Gay
3663	Alliaria petiolata (M. Bieb.) Cavara & Grande
3664	Alyssoides utriculata (L.) Medik.
3665	Alyssum alpestre L.
3668	Alyssum alyssoides (L.) L.
3692	Alyssum montanum L. subsp. collicola (Rouy & Fouc.) P. Fourn.
3695	Alyssum montanum L. subsp. gmelinii (Jordan) Hegi & E. Schmid
3696	Alyssum montanum L.
3703	Alyssum serpyllifolium Desf. subsp. serpyllifolium
3704	Alyssum simplex Rudolphi in Schrader
3708	Arabis allionii DC.
3709	Arabis alpina L.
3715	Arabis auriculata Lam.
3717	Arabis bellidifolia Crantz subsp. stellulata (Bertol.) Greuter & Burdet
3722	Arabis caerulea (All.) Haenke
3723	Arabis caucasica Willd. ex Schlecht.
3728	Arabis collina Ten.
3743	Arabis nova Vill.
3749	Arabis planisiliqua (Pers.) Reichenb.
3752	Arabis rosea DC.
3753	Arabis sagittata (Bertol.) DC.
3755	Arabis scabra All.
3760	Arabis soyeri Reuter & Huet subsp. subcoriacea (Gren.) Breistr.
3765	Arabis turrita L.
3766	Arabis verna (L.) R. Br.
3768	Armoracia rusticana G. Gaertner, B. Meyer & Scherb.
3769	Aubrieta deltoidea (L.) DC.
3770	Aurinia petraea (Ard.) Schur
3771	Aurinia saxatilis (L.) Desv.
3772	Barbarea bracteosa Guss.
3774	Barbarea intermedia Boreau
3779	Barbarea stricta Andrz.
3780	Barbarea verna (Miller) Ascherson
3785	Berteroa incana (L.) DC.
3791	Biscutella brevicaulis Jordan
3793	Biscutella cichoriifolia Loisel.
3808	Biscutella laevigata L.
3834	Brassica elongata Ehrh.
3839	Brassica fruticulosa Cyr.
3848	Brassica napus L.
3852	Brassica nigra (L.) Koch
3853	Brassica oleracea L.
3879	Brassica repanda (Willd.) DC. subsp. repanda
3880	Brassica repanda (Willd.) DC. subsp. saxatilis (DC.) Heywood
3894	Bunias erucago L.
3895	Bunias orientalis L.
3905	Calepina irregularis (Asso) Thell.
3908	Camelina microcarpa Andrz. ex DC.
3912	Camelina sativa (L.) Crantz
3920	Capsella rubella Reuter
3923	Cardamine asarifolia L.
3925	Cardamine bellidifolia L. subsp. alpina (Willd.) B.M.G. Jones
3926	Cardamine bulbifera (L.) Crantz
3930	Cardamine flexuosa With.
3932	Cardamine heptaphylla (Vill.) O.E. Schulz
3933	Cardamine hirsuta L.
3941	Cardamine pentaphyllos (L.) Crantz
3942	Cardamine plumieri Vill.
3943	Cardamine pratensis L.
3955	Cardamine resedifolia L.
3958	Cardamine trifolia L.
3959	Cardaminopsis arenosa (L.) Hayek
3962	Cardaminopsis halleri (L.) Hayek
3981	Clypeola jonthlaspi L.
3990	Cochlearia danica L.
4000	Coincya cheiranthos (Vill.) Greuter & Burdet
4002	Brassica montana DC. in Lam. & DC. [1805], non Pourret
4007	Coincya richeri (Vill.) Greuter & Burdet
4008	Conringia orientalis (L.) Dumort.
4009	Coronopus didymus (L.) Sm.
4019	Descurainia sophia (L.) Webb ex Prantl
4023	Diplotaxis erucoides (L.) DC.
4028	Diplotaxis muralis (L.) DC.
4031	Diplotaxis tenuifolia (L.) DC.
4032	Diplotaxis viminea (L.) DC.
4033	Draba aizoides L.
4034	Draba aspera Bertol.
4038	Draba dubia Suter
4041	Draba fladnizensis Wulfen
4042	Draba hoppeana Reichenb. in Moessler
4043	Draba incana L.
4049	Draba muralis L.
4050	Draba nemorosa L.
4054	Draba siliquosa M. Bieb.
4058	Draba tomentosa Clairv.
4061	Draba tomentosa Clairv. subsp. tomentosa
4065	Erophila praecox (Steven) DC.
4067	Erophila verna (L.) Chevall.
4072	Eruca sativa Miller
4079	Erucastrum gallicum (Willd.) O.E. Schulz
4081	Erucastrum nasturtiifolium (Poiret) O.E. Schulz subsp. nasturtiifolium
4091	Erysimum cheiranthoides L.
4093	Erysimum cheiri (L.) Crantz
4114	Erysimum jugicola Jordan
4117	Erysimum nevadense Reuter
4119	Erysimum ochroleucum (Schleicher) DC.
4127	Erysimum rhaeticum (Hornem.) DC.
4132	Erysimum virgatum Roth
4135	Fibigia clypeata (L.) Medik.
4136	Fourraea alpina (L.) Greuter & Burdet
4138	Hesperis inodora L.
4139	Hesperis laciniata All.
4151	Hirschfeldia incana (L.) LagrÞze-Fossat
4152	Hormathophylla halimifolia (Boiss.) K³pfer
4157	Hornungia petraea (L.) Reichenb.
4160	Hugueninia tanacetifolia (L.) Reichenb. subsp. tanacetifolia
4171	Hymenolobus procumbens (L.) Torrey & A. Gray
4176	Iberis amara L.
4195	Iberis linifolia L.
4201	Iberis linifolia L. subsp. stricta (Jordan) Rouy & Fouc.
4203	Iberis linifolia L. subsp. violettii (Godron) ValdÚs
4207	Iberis pinnata L.
4212	Iberis saxatilis L.
4227	Iberis umbellata L.
4231	Isatis allionii P.W. Ball
4234	Isatis tinctoria L.
4238	Kandis perfoliata (L.) KerguÚlen
4240	Kernera saxatilis (L.) Sweet
4243	Lepidium campestre (L.) R. Br.
4247	Lepidium densiflorum Schrader
4252	Lepidium graminifolium L.
4256	Lepidium heterophyllum Bentham
4257	Lepidium hirtum (L.) Sm.
4262	Lepidium latifolium L.
4264	Lepidium neglectum Thell.
4272	Lepidium sativum L.
4277	Lepidium virginicum L.
4278	Lobularia maritima (L.) Desv.
4279	Lunaria annua L.
4281	Lunaria rediviva L.
4282	Malcolmia africana (L.) R. Br.
4307	Matthiola valesiaca Boiss.
4318	Myagrum perfoliatum L.
4328	Nasturtium officinale R. Br.
4334	Neslia apiculata Fischer & al.
4335	Neslia paniculata (L.) Desv.
4341	Noccaea alpestris (Jacq.) KerguÚlen subsp. sylvium (Gaudin) KerguÚlen
4343	Noccaea brachypetala (Jordan) F.K. Meyer
4345	Noccaea caerulescens (J. & C. Presl) F.K. Meyer
4349	Noccaea caerulescens (J. & C. Presl) F.K. Meyer subsp. virens (Jordan) KerguÚlen
4350	Noccaea corymbosa (Gay) F.K. Meyer
4352	Noccaea montana (L.) F.K. Meyer
4356	Noccaea rotundifolia (L.) Moench
4359	Petrocallis pyrenaica (L.) R. Br.
4360	Pritzelago alpina (L.) O. Kuntze
4361	Pritzelago alpina (L.) O. Kuntze subsp. alpina
4362	Pritzelago alpina (L.) O. Kuntze subsp. brevicaulis (Sprengel) Greuter & Burdet
4374	Raphanus raphanistrum L. subsp. raphanistrum
4375	Raphanus sativus L.
4378	Rapistrum perenne (L.) All.
4379	Rapistrum rugosum (L.) All. [1785]
4390	Rorippa amphibia (L.) Besser
4393	Rorippa austriaca (Crantz) Besser
4395	Rorippa islandica (Oeder ex Gunn.) Borbás
4412	Sinapis alba L.
4414	Sinapis alba L. subsp. dissecta (Lag.) Simonkai [1887]
4416	Sinapis arvensis L.
4429	Sisymbrella aspera (L.) Spach
4434	Sisymbrium altissimum L.
4439	Sisymbrium austriacum Jacq.
4453	Sisymbrium irio L.
4455	Sisymbrium loeselii L.
4465	Sisymbrium orientale L. subsp. orientale
4470	Sisymbrium polyceratium L.
4480	Sisymbrium strictissimum L.
4481	Sisymbrium supinum L.
4490	Sisymbrium volgense M. Bieb. ex E. Fourn.
4493	Teesdalia coronopifolia (J.P. Bergeret) Thell.
4495	Teesdalia nudicaulis (L.) R. Br.
4497	Thlaspi alliaceum L.
4518	Thlaspi cepaeifolium (Wulfen) Koch
4548	Turritis glabra L.
4558	Buddleja davidii Franchet
4565	Buxus sempervirens L.
4584	Opuntia humifusa (Rafin.) Rafin.
4589	Opuntia stricta (Haw.) Haw.
4596	Cassia obtusifolia L.
4599	Cercis siliquastrum L.
4600	Gleditsia triacanthos L.
4608	Callitriche brutia Petagna
4609	Callitriche cophocarpa Sendtner
4610	Callitriche hamulata Koch
4612	Callitriche obtusangula Le Gall
4613	Callitriche palustris L.
4615	Callitriche platycarpa K³tz. in Reichenb.
4617	Callitriche stagnalis Scop.
4625	Campanula albicans (Buser) Engler
4626	Campanula alliariifolia Willd.
4628	Campanula alpestris All.
4632	Campanula bononiensis L.
4633	Campanula carpatica Jacq.
4634	Campanula cenisia L.
4637	Campanula cochleariifolia Lam.
4641	Campanula elatines L.
4643	Campanula erinus L.
4644	Campanula excisa Schleich. ex Murith
4649	Campanula fritschii Witasek
4652	Campanula glomerata L. subsp. cervicarioides (Schultes) Arcangeli
4666	Campanula latifolia L.
4671	Campanula longisepala Podl.
4672	Campanula macrorhiza Gay ex A. DC.
4673	Campanula medium L.
4687	Campanula pyramidalis L.
4688	Campanula rapunculoides L.
4689	Campanula rapunculus L.
4691	Campanula rhomboidalis L.
4705	Campanula spicata L.
4706	Campanula stenocodon Boiss. & Reuter
4718	Jasione montana L.
4733	Legousia falcata (Ten.) Fritsch
4734	Legousia hybrida (L.) Delarbre
4736	Legousia scabra (Lowe) Gamisans
4737	Legousia speculum-veneris (L.) Chaix
4739	Lobelia erinus L.
4743	Phyteuma betonicifolium Vill.
4744	Phyteuma charmelii Vill.
4745	Phyteuma cordatum Balbis
4750	Phyteuma globulariifolium Sternb. & Hoppe subsp. pedemontanum (R. Schulz) Becherer
4752	Phyteuma hemisphaericum L.
4753	Phyteuma humile Schleicher ex Gaudin
4754	Phyteuma michelii All.
4763	Phyteuma ovatum Honckeny
4772	Phyteuma scheuchzeri All.
4773	Phyteuma scorzonerifolium Vill.
4787	Phyteuma villarsii R. Schulz
4799	Trachelium caeruleum L.
4805	Cannabis sativa L.
4806	Humulus lupulus L.
4814	Capparis spinosa L.
4817	Capparis spinosa L. subsp. rupestris (Sibth. & Sm.) Nyman
4823	Linnaea borealis L.
4824	Lonicera alpigena L.
4826	Lonicera caerulea L.
4827	Lonicera caprifolium L.
4829	Lonicera etrusca G. Santi
4830	Lonicera implexa Aiton
4831	Lonicera japonica Thunb.
4832	Lonicera nigra L.
4833	Lonicera periclymenum L.
4836	Lonicera tatarica L.
4837	Lonicera xylosteum L.
4842	Sambucus racemosa L.
4843	Symphoricarpos alba (L.) S.F. Blake
4847	Viburnum lantana L.
4849	Viburnum opulus L.
4850	Viburnum tinus L.
4854	Agrostemma githago L.
4880	Arenaria aggregata (L.) Loisel.
4885	Arenaria biflora L.
4890	Arenaria ciliata L.
4893	Arenaria cinerea DC.
4903	Arenaria gothica Fries 3, 4
4907	Arenaria gothica Fries 3, 4 subsp. moehringioides (J. Murr) Wyse Jackson & Par
4909	Arenaria grandiflora L.
4943	Arenaria purpurascens Ramond ex DC.
4949	Arenaria serpyllifolia L. subsp. leptoclados (Reichenb.) Nyman
4952	Arenaria serpyllifolia L. subsp. serpyllifolia
4968	Bufonia tenuifolia L.
4969	Cerastium alpinum L.
4978	Cerastium arvense L. subsp. arvense
4981	Cerastium arvense L. subsp. strictum (Koch) Gremli
4982	Cerastium arvense L. subsp. suffruticosum (L.) Cesati
4990	Cerastium brachypetalum Desportes ex Pers.
4999	Cerastium cerastoides (L.) Britton
5016	Cerastium glomeratum Thuill.
5025	Cerastium latifolium L.
5027	Cerastium lineare All.
