CODE_CBNA	AGEFLOW_MAX	AGEFLOW_MIN	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	CLONRATE	CNRATIO	C_Plant	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DNA	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK	ELLAER_INDK_VAR	ELLCONT	ELLCONT_INDK	ELLCONT_INDK_VAR	ELLHUMUS_INDK	ELLHUMUS_INDK_VAR	ELLLITE	ELLLITE_INDK	ELLLITE_INDK_VAR	ELLMOIST	ELLMOIST_INDK	ELLMOIST_INDK_VAR	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLNIT_INDK_VAR	ELLPH	ELLREAC_INDK	ELLREAC_INDK_VAR	ELLSALT	ELLSALT_INDK	ELLTEMP	ELLTEMP_INDK	ELLTEMP_INDK_VAR	ENDEM	FECUNDITY	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMRATE	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_ANGLE	L_AREA	LATSPR	LCCp	LD13C	LD15N	LDMC	L_DRYM	Leaf_T_Strength	L_FORM	L_FRESHM	LHIST	LIFESPAN	LKC	L_LONG	LNC	LPC	LPERST_INDK	L_THICK	MAN_INFLUENCE_INDK	MAX_AGE	MEDIC_POISON_FX_INDK	MOW	MOW_TOLERANCE_INDK	MYCORR	NATURAL	NBCHROM	N_Plant	NUTR	Palatability	PL_H_flora_MIN	PLOIDY	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOT_DEPTH_INDK	ROOTMET	ROSET	SEEDH	SEEDL	SEED_LONGEVITY_INDK	SEEDM	SEEDPROD	SEEDW	SLA	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY
66					<							germinule	protogynous	Unassisted dispersal	anthropochory_epichory	7		scattered or in small groups	weeds and ruderal plants	2	small variation (I)	6	3	small variation (I)	2	small variation (I)	8	5	small variation (I)	3.5	2.5	small variation (I)	1	7	3	small variation (I)	8	3	large variation (II)	0	salt tolerant	8	4.5	small variation (I)			August	October	Pyxid					neophytes	spike-like panicle	panicle	mesomorphic										simple		Therophyte	annual		summer green			decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous	16		Chlorophyllian		30	diploid	30	35	50		anemogamous	unisexual and monoecious		2.5		Erosulate plant	0.565	0.84		0.35		0.87		no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous
70					<										anthropochory_epichory			scattered or in small groups		2	small variation (I)		3	small variation (I)	2	small variation (I)		4	small variation (I)		2	small variation (I)	1		4	small variation (I)		4	large variation (II)		salt tolerant		4.5	small variation (I)			July	October						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
71					=								protogynous	Unassisted dispersal	anthropochory_epichory	7		scattered or in small groups	weeds and ruderal plants	2	small variation (I)	3	2	small variation (I)	3	small variation (I)	7.5	4	small variation (I)	4	2.5	small variation (I)	1	8	4	small variation (I)		3	large variation (II)			7	4	small variation (I)			July	September	Pyxid					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	spike-like panicle	panicle	mesomorphic										full		Therophyte	annual		summer green			decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous	17		Chlorophyllian		10	diploid	32.5	25	50			unisexual and monoecious		2.5		Erosulate plant			3					no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous
73					<										anthropochory_epichory			scattered or in small groups		2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		3	small variation (I)	1		4	small variation (I)		3	large variation (II)		salt tolerant		4.5	small variation (I)			July	October						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
77					=										anthropochory_epichory			scattered or in small groups	weeds and ruderal plants	2	small variation (I)		1	small variation (I)	2	small variation (I)		4	small variation (I)		2.5	small variation (I)	1		4	small variation (I)		4	large variation (II)				5	small variation (I)			July	September						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible															anemogamous	unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
80					<										anthropochory_epichory			scattered or in small groups		2	small variation (I)		4	small variation (I)	2	small variation (I)		4	small variation (I)		2.5	small variation (I)	1		4	small variation (I)		3	large variation (II)		salt tolerant		4.5	small variation (I)			July	October						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
81					=								protogynous	Unassisted dispersal	anthropochory_epichory	7	1.1	scattered or in small groups	weeds and ruderal plants	2	small variation (I)		2	small variation (I)	2	small variation (I)	8	4	small variation (I)		2.5	small variation (I)	1		4	small variation (I)		4	large variation (II)				4.5	small variation (I)			July	September	Pyxid					young species (neophytes)	spike-like panicle	panicle	mesomorphic										simple		Therophyte	annual		summer green			decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous	16.5		Chlorophyllian		40	diploid		60	80			unisexual and monoecious				Erosulate plant		1				1		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous
83					<							germinule	protogynous	Unassisted dispersal	anthropochory_epichory	7		scattered or in small groups	weeds and ruderal plants	2	small variation (I)		2	small variation (I)	2	small variation (I)	7	4	small variation (I)	4	2.5	small variation (I)	1	7	4	small variation (I)	7	3	small variation (I)		salt tolerant	9	5	small variation (I)			July	September	Pyxid					neophytes	spike-like panicle	panicle	mesomorphic										simple		Therophyte	annual		summer green			decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous	17		Chlorophyllian		20	diploid	30	30	40		anemogamous	unisexual and monoecious				Erosulate plant	0.5	1.05		0.31		0.625		root swelling	crr		no vegetative dispersal parts	Herbaceous
85					<										anthropochory_epichory			scattered or in small groups	weeds and ruderal plants	2	small variation (I)		3	small variation (I)	2	small variation (I)		4	small variation (I)		1.5	small variation (I)	1		4	small variation (I)		3	small variation (I)				5	small variation (I)			July	September																					Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible															anemogamous	unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
87					<									Unassisted dispersal	anthropochory_epichory	7		scattered or in small groups	weeds and ruderal plants	2	small variation (I)		2	small variation (I)	2	small variation (I)	8	4	small variation (I)	3	2.5	small variation (I)	1	8	4	small variation (I)	9	3	small variation (I)		salt tolerant	9	5	small variation (I)			July	September	Pyxid					neophytes	spike-like panicle	panicle													Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous			Chlorophyllian		30			40	50		anemogamous	unisexual and monoecious												root swelling	crr		no vegetative dispersal parts	Herbaceous
88					<_=									Unassisted dispersal	anthropochory_epichory	7	0.7	in larger groups_scattered or in small groups	weeds and ruderal plants	2	small variation (I)		2	small variation (I)	2	small variation (I)	8	4	small variation (I)		2.5	large variation (II)	1		4	small variation (I)		4	large variation (II)				4.5	small variation (I)			July	October_September	Pyxid					young species (archaeophytes)_young species (neophytes)	spike-like panicle	panicle													Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous			Chlorophyllian		40		60	57.5	80			unisexual and monoecious						1.1		0.54		1.08		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous
91					=										anthropochory_epichory			scattered or in small groups	weeds and ruderal plants	2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		2.5	small variation (I)	1		4	small variation (I)		4	large variation (II)				4.5	small variation (I)			July	September						young species (neophytes)															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
93					<										anthropochory_epichory			in larger groups		2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		2.5	large variation (II)	2		4	small variation (I)		4	large variation (II)		salt tolerant		4.5	small variation (I)			July	September						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious		3					3					no special organ to store energy	crr		no vegetative dispersal parts	
98					<										epichory			scattered or in small groups		3	small variation (I)		4	small variation (I)	1	small variation (I)		4	small variation (I)		2	small variation (I)	3		3	small variation (I)		3	small variation (I)				5	small variation (I)			July	October						neophytes															Therophyte						decidous		indifferent (urbanoneutral)		edible																unisexual and dioecious												no special organ to store energy	crr		no vegetative dispersal parts	
104					<							germinule_one-seeded generative dispersule	protogynous	Unassisted dispersal	endochory_epichory	7	1.3	in larger groups	weeds and ruderal plants	1	large variation (II)	6	3	small variation (I)	2	small variation (I)	8	4	small variation (I)	4	2.5	large variation (II)	2	7	4	large variation (II)	7	3	large variation (II)	0	salt tolerant	7	4	small variation (I)			July	September	Pyxid					neophytes	spike-like panicle	panicle	mesomorphic		9.9375					219.19	0.03447		full	0.130335	Therophyte	annual		summer green			decidous		strictly hemerobic (strictly urbanophilous)		edible				Exogenous	16.5		Chlorophyllian		40	diploid	60.25	57	90	entomogamous	anemogamous	unisexual and monoecious		3.5		Erosulate plant	0.71	1.18	4	0.4115		1.04	16.96	no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous
108					<										epichory			scattered or in small groups		2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		2	small variation (I)	2		4	small variation (I)		3	small variation (I)				5	small variation (I)			July	October						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)																		unisexual and monoecious												no special organ to store energy	crr		no vegetative dispersal parts	
109					<										anthropochory_epichory			scattered		2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		2	small variation (I)	1		4	small variation (I)		3	small variation (I)				5	small variation (I)			July	October						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious												no special organ to store energy	rrr		no vegetative dispersal parts	
111					<										anthropochory_epichory			scattered		2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		2	small variation (I)	1		4	small variation (I)		4	small variation (I)				5	small variation (I)			August	October						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)		edible																unisexual and monoecious												no special organ to store energy	rrr		no vegetative dispersal parts	
118					>							generative dispersule		Endozoochory	dysochory_meteorochory	6	9.35	scattered	forest plants	2	small variation (I)	4	3	small variation (I)	2	small variation (I)	7	4	small variation (I)	3	1.5	small variation (I)	1	3	2	small variation (I)	7	4	small variation (I)			8	4.5	small variation (I)			June	June	Drupe					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	raceme of racemes	raceme	mesomorphic		44.2		459.783973693848			397.191660394055	0.199305		pinnate	0.513465	Chamaephyte_Phanerophyte	pluriennial		summer green	19.440838098526		decidous		indifferent (urbanoneutral)		poisonous for individual animal species				Indigenous	15		Chlorophyllian		40	diploid	200	190	250		entomogamous	polysexual				Erosulate plant	1.45	4.625		9.245		2.75	20.8744001283738	thick lignified main roots	ccc		basal lateral shoots	Frutescent
120					=										endochory			scattered or in small groups		2	small variation (I)		3	small variation (I)	2	small variation (I)		4	small variation (I)		1	small variation (I)	1		2	small variation (I)		3	large variation (II)		salt dependant		5	small variation (I)			April	June						idiochorophytes or indigenes															Phanerophyte						evergreen		moderately close to nature (moderately urbanophobous)	12	medicinal																unisexual and dioecious												thick lignified main roots	ccc		basal lateral shoots	
