CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
10511		2	84	Herbaceous	Chamaephyte_H	3	3	2	2.5	1	2	1	
10512		16	1000	Frutescent	Chamaephyte_S	4	3	2	3	1	3		
10513				unknown	Phanerophyte		3	2	4	1	3.5		
10514			57.5	Herbaceous	Therophyte	2	3	2	3	1	2.5		
10516			60	Herbaceous	Therophyte	2	4	1	3	1	2		
10519			25	Herbaceous	Therophyte	1	5	1	3	1	2		
10520		1	35	Herbaceous	Therophyte	2	3	2	3	1	2.5		
10522		1		Herbaceous	Therophyte		3	2	3	1	2.5		
10525			70	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	3.5	1	4	2	
10526				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	4	2	
10528				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	4	2	
10529			70	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	4	1	4	2	
10532			60	Herbaceous	Geophyte_Hemicryptophyte	2	5	2	2	1	2	2	
10550				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3	1	
10559		8	40	Suffrutescent	Chamaephyte_S	3	2	1	2.5	1	2		
10564				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	2.5		
10568		10	29	Herbaceous	Geophyte_Hemicryptophyte		2	1	3	1	3		
10572		3	6	Herbaceous	Geophyte_Hemicryptophyte	3	2	1	2	1	2		
10578			6	Herbaceous	Geophyte_Hemicryptophyte	1	4	1	3.5	2	4		
10580		1		Herbaceous	Therophyte		4	1	3	1	2		
10582		1	30	Herbaceous	Therophyte	7	4	1	3	1	2		
10583			25	Herbaceous	Therophyte				3				
10590	3		12.75	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2.5	1	3	2	2
10593				unknown		3							
10594			25	Herbaceous	Geophyte_Hemicryptophyte	3	3	2	2.5	1	3	2	
10595				unknown		3							
10601			9.25	Herbaceous	Geophyte_Hemicryptophyte	3	5	1	2	1	1.5		
10602		12	25	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2	1	1.5		
10603		12		Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	1.5		
10606			25	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2	1	1.5		
10611	5	8	4	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	1.5	1	2.5	2	
10615	4	6	15	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2	1	1.5	2	
10620			35	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3.5	1	4	3	
10622	2		20	Herbaceous	Geophyte_Hemicryptophyte	7	3	1	3	1	3	3	2
10623			55	Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3	3	
10624			60	Herbaceous	Geophyte_Hemicryptophyte	7	3	1	3.5	1	3	4	
10626			40	Herbaceous	Geophyte_Hemicryptophyte	5	3	1	3	1	2.5	2	2
10629			8.5	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2	1	3.5	1	
10633				unknown	Helophyte_Hydrophyte		4	1	2	1	5		
10637			31.5	Herbaceous	Therophyte	6	4	1	3	1	2.5		
10638			25	Herbaceous	Geophyte_Hemicryptophyte	2			3			3	
10640				unknown	Helophyte_Hydrophyte		3	1	4	1	5		
10642			10	Herbaceous	Geophyte_Hemicryptophyte	6	3	1	3	1	3	3	
10646	3		18	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2	1	2	3	2
10648				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2	3	
10650				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2	3	
10653			11.5	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2.5	1	2.5	3	
10655				Herbaceous	Geophyte_Hemicryptophyte		2	1	3	1	4		
10660				unknown	Helophyte_Hydrophyte		3	1	3	1	5		
10672	3.5		15.5	Herbaceous	Geophyte_Hemicryptophyte	7	2	2	3.5	1	3.5	4	
10680			27	Herbaceous	Geophyte_Hemicryptophyte	6	4	2	1.5	1	4.5	3	
10682				unknown	Helophyte_Hydrophyte		3	1	4	1	5		
10687				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2		
10691	3		4.666666667	Herbaceous	Geophyte_Hemicryptophyte	4	5	1	1.5	1	3.5		2
10693			21.25	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	1.5	1	1	2	
10694				Herbaceous	Geophyte_Hemicryptophyte	3	3	1	3	1	3	3	
10695				unknown	Helophyte_Hydrophyte		4	1	2	1	5		
10699	3		6.5	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2.5	1	3	2	2
10700				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	3	2	
10702			50	Herbaceous	Geophyte_Hemicryptophyte	3	2	1	3.5	1	3.5	2	
10705			80	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	3.5	1	4.5		
10712			30	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2.5	1	1		
10713				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	1		
10714				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	1		
10715	3		7	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	3.5	1	3.5	3	2
10717				Herbaceous	Therophyte		4	1	3	1	2		
10723				Herbaceous	Therophyte		4	1	2	1	3.5		
10727			15	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	2.5	1	4.5	2	
10729			15	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	1.5	1	4		
10730			3	Herbaceous	Geophyte_Hemicryptophyte	3	5	1	3	1	2.5		
10732				unknown					1				
10734			20	Herbaceous	Therophyte		4	1	3	1	2.5		
10736				Herbaceous	Helophyte_Hydrophyte	1	3	1	2	1	5		
10739				unknown	Helophyte_Hydrophyte		3	1	2.5	1	5		
10741				unknown	Helophyte_Hydrophyte		4	1	3	1	5		
10750			60	Herbaceous	Geophyte_Hemicryptophyte	3	2	1	3	1	3	2	
10751				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	3	2	
10752				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3.5	2	
10753				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	2	2	
10760				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	3	2	
10764	0		20	Herbaceous	Geophyte_Hemicryptophyte	5	3	1	4	1	3.5	4	
10765			14	Herbaceous	Geophyte_Hemicryptophyte		5	1	2	1	4.5		
10770				unknown	Helophyte_Hydrophyte		3	1	2	1	5		
10774			16.5	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	3	1	4		
10778				unknown	Geophyte_Hemicryptophyte		4	1	3	1	4		
10780				unknown					3				
10782	1		25	Herbaceous	Therophyte	3	4	1	4	1	4.5	2	
10783			10	Herbaceous	Geophyte_Hemicryptophyte	3	5	1	2	1	3		
10784			40	Herbaceous	Geophyte_Hemicryptophyte	5	2	1	3	1	3		
10790			20	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2	1	2	2	
10791				Herbaceous	Helophyte_Hydrophyte	6	4	1	2.5	1	5		
10792				Herbaceous	Helophyte_Hydrophyte	6	4	1	3	1	5		
10799			40	Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	3.5	2	
10800				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3.5	2	
10802			20	Herbaceous	Geophyte_Hemicryptophyte	1	2	1	3	1	3.5	2	
10803	1	12	10	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2	1	3	2	
10807		2		Herbaceous	Geophyte_Hemicryptophyte	3	3	1	3	1	4	2	
10813			70	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3	1	4	2	
10816				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	4	2	
10818		2	40	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2	1	1.5	2	
10826			39.375	Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2	2	
10829				Herbaceous	Geophyte_Hemicryptophyte		3	1	2.5	1	1	2	
10830			29.375	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2	1	2	2	
10832				Herbaceous	Geophyte_Hemicryptophyte		4	2	2	1	1	2	
10838				Herbaceous	Geophyte_Hemicryptophyte		4	2	3	1	3	3	
10840			60	Herbaceous	Geophyte_Hemicryptophyte	2	4	2	3	1	3	3	
10843			61.5	Herbaceous	Geophyte_Hemicryptophyte	2	4	2	3	1	3	3	
10845	2	8	22.975	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	3	1	4	3	2
10865	2	2	35	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	3.5	1	2		
10866		3	72	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3.5	1	2		
10867		2	23.1	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3.5	1	1		
10869		2		unknown	Geophyte_Hemicryptophyte		4	1	4	1	1		
10889	3		350	Frutescent	Phanerophyte	6	3	2	2.5	1	3.5	1	
10891			200	Frutescent	Chamaephyte_S	4	3	1	2	1	1		
10892			200	Frutescent	Chamaephyte_S	6	4	1	2	1	1		
10893				Frutescent	Phanerophyte		4	1	2	1	1		
10894				Frutescent	Phanerophyte		4	1	2	1	1		
10895			100	Frutescent	Chamaephyte_S	6	3	1	2	1	2		
10896			300	Frutescent	Chamaephyte_S	6	3	1	2	1	2.5	1	
10905		50	7	Frutescent	Chamaephyte_S	6	4	1	1.5	1	1		
10906		23	65	Frutescent	Chamaephyte_S	6	3	1	2	1	1		
10907		23	70	Frutescent	Chamaephyte_S	6	3	1	2	1	1		
10908		23	70	Frutescent	Chamaephyte_S	6	3	1	2	1	1		
10909		23		Frutescent	Phanerophyte		3	1	2	1	1		
10912		3	45	Herbaceous	Geophyte_Hemicryptophyte	7	4	2	2.5	1	2	1	
10915			87.5	Herbaceous	Geophyte_Hemicryptophyte	6	4	2	3	1	3	1	
10916				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	3	
10917				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	3.5	4	
10918				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	4.5	3	
10920			6.25	Herbaceous	Chamaephyte_H	6	4	1	1.5	1	2.5		
10926				unknown	Chamaephyte_H		4	1	2	1	3		
10927				unknown	Chamaephyte_H		4	1	2	1	3.5		
10928				unknown	Chamaephyte_H		4	1	2	1	3		
10933			25	Herbaceous	Chamaephyte_H	6	4	1	2	1	2		
10935				unknown	Chamaephyte_H		4	1	2	1	2.5		
10938				unknown	Chamaephyte_H		4	1	2	1	2		
10939				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2.5	3	
10940				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	2.5		
10941				Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	3.5	3	
10942		19	17.5	Herbaceous	Chamaephyte_H	6	4	1	2	1	3		
10943				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	3	
10944			25	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	3	1	4	3	
10946				unknown	Chamaephyte_H		4	1	2	1	2.5		
10947				Herbaceous	Geophyte_Hemicryptophyte		4	2	4	1	3.5	4	
10948				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	4		
10949				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	4.5	3	
10950				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	4	3	
10951				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	2	4	
10952		6		Herbaceous	Chamaephyte_H	6	4	1	3	1	3	3	
10953			14	Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	3	3	
10954				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	3	3	
10955				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	3	3	
10956				Herbaceous	Geophyte_Hemicryptophyte		4	1	2	1	3.5	3	
10957			2.5	Herbaceous	Geophyte_Hemicryptophyte	6	4	2	2	1	4		
10958			15	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2	1	2.5	3	
10960				unknown	Chamaephyte_H		4	1	2	1	2		
10961				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	4	3	
10962				unknown	Chamaephyte_H		4	1	2	1	2		
10963				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	4		
10967			18.5	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	4	1	3.5	3	
10969			18	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	2	1	2	3	
10970				Herbaceous	Geophyte_Hemicryptophyte		4	2	2	1	3		
10973				Herbaceous	Chamaephyte_H	6	4	1	2	1	3		
10974				Herbaceous	Geophyte_Hemicryptophyte		4	2	4	1	3	4	
10981				Herbaceous	Geophyte_Hemicryptophyte		4	1	4	1	3.5	3	
10982				Herbaceous	Geophyte_Hemicryptophyte		3	1	3	1	3.5	3	
10983				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	3	
10984				Herbaceous	Geophyte_Hemicryptophyte		4	2	2	2	3.5		
10986				unknown	Chamaephyte_H		4	1	2	1	3		
10987				Herbaceous	Geophyte_Hemicryptophyte	6							
10988				unknown	Chamaephyte_H		4	1	2	1	3		
10990				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	3.5		
10991				Herbaceous	Geophyte_Hemicryptophyte		5	1	3	1	4		
10992	6			Herbaceous	Chamaephyte_H	6	4	1	2	1	2		4
10993				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	3.5	4	
10998	9		23	Herbaceous	Geophyte_Hemicryptophyte	6	4	2	4	1	3	4	
10999				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	3.5	4	
11002			35	Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	3.5	3	
11003				Herbaceous	Chamaephyte_H	6	3	1	2	1	3.5		
11004	3	5	1	Herbaceous	Chamaephyte_H	6	4	1	2.5	2	4		4
11005				unknown	Chamaephyte_H		4	1	2	1	2		
11006				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	2.5	4	
11007				unknown	Chamaephyte_H		4	1	3	1	2.5		
11009				Herbaceous	Geophyte_Hemicryptophyte	6	4	2	2	1	4		
11010				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	4	3	
11011				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	4	3	
11012				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	4	
